Date,temp,vap_pressure,atm_pressure,humidity,temp_max,temp_min,weather_num
2010/1/1,3.5,4,1018.6,51,6.9,1.6,5.25
2010/1/2,6.6,6.5,1015,65,11.7,1.6,2
2010/1/3,7,4.6,1016.2,46,11.1,2.1,2.75
2010/1/4,6.9,5.7,1011.5,56,13.6,1.2,2
2010/1/5,4.9,4.2,1016.1,49,7.4,4,3
2010/1/6,4.3,4,1018.6,49,6.3,3,3
2010/1/7,3.9,4.2,1019.6,52,4.8,2.5,3
2010/1/8,4.5,4.5,1019,53,8.3,1.4,2
2010/1/9,6.3,5.5,1021.6,57,10.9,1.6,2
2010/1/10,8,7.2,1022.1,67,10.5,6.4,5
2010/1/11,7.5,6.8,1017.9,66,9.2,6.1,5
2010/1/12,5.7,4.6,1014.3,49,8.3,2.1,3
2010/1/13,1.4,3.9,1017.8,58,3.1,-1.3,6.25
2010/1/14,2.2,4.6,1025.7,64,4.5,1.1,13
2010/1/15,3.9,6.6,1026.3,82,6.5,1.8,0.75
2010/1/16,5.4,5.9,1028,67,9.7,1.8,2
2010/1/17,5,5.3,1029.1,62,12.2,0.5,1
2010/1/18,7,6.5,1028.3,65,13.9,1.3,2
2010/1/19,8.9,7.5,1028,67,14.8,3.5,0
2010/1/20,14.6,11.6,1019.3,69,18.8,9.4,2
2010/1/21,12.1,11.3,1014.7,79,15.9,8.1,8.75
2010/1/22,7.6,5.8,1021,56,10.1,5.7,3.5
2010/1/23,4.7,4.8,1021.9,56,6.1,3,3
2010/1/24,6.2,5.7,1021.8,61,11.7,1.8,2
2010/1/25,8.1,6.3,1019.4,59,11.4,5.2,0
2010/1/26,6.1,4.7,1026.2,51,10.7,2.7,1
2010/1/27,8.3,6.1,1019.8,55,15,0.8,3.5
2010/1/28,11,9.4,1014.4,71,13,6.7,3.5
2010/1/29,8,5.3,1021.2,50,10.8,5.5,2
2010/1/30,7.8,6.6,1021.6,62,11.5,4.6,2
2010/1/31,8.2,9.2,1017,84,10.2,6.7,8.75
2010/2/1,7.9,8.8,1011.4,83,9.5,7.2,8.75
2010/2/2,7.9,5.1,1016.9,49,11.1,6.3,0.75
2010/2/3,5.2,3.5,1021.1,40,7.4,2.6,2
2010/2/4,4.4,3.9,1022.2,47,7.4,1.8,3.5
2010/2/5,5.8,4.3,1021.8,47,8.8,1.7,2
2010/2/6,5.6,3.8,1024.9,41,8.1,2.6,2
2010/2/7,6.9,3.9,1024.9,41,12.8,0.3,2
2010/2/8,14.1,8.5,1018.1,50,19.1,7.9,2
2010/2/9,16.9,14.6,1014,76,22.7,12.5,2.75
2010/2/10,13.8,14.4,1011.7,91,17.2,11.7,3
2010/2/11,9.9,10.6,1010.6,86,11.8,7.2,8.75
2010/2/12,7.5,6.9,1018.6,67,10,5.7,5
2010/2/13,5.7,6,1021.4,65,8.4,3.6,8.75
2010/2/14,5.8,6.1,1022.7,67,10.2,2.2,3
2010/2/15,7.5,7.5,1017.5,73,9.8,4.9,5
2010/2/16,6.3,6.5,1020.4,69,8.3,4.5,8.75
2010/2/17,6.4,5.3,1020.8,56,10.9,3.5,3.5
2010/2/18,5.6,4.8,1018.9,53,7.1,4,5
2010/2/19,5.6,4.3,1019.4,47,8,3.3,5.25
2010/2/20,6.8,4.6,1020.7,48,11.6,3.6,2.75
2010/2/21,7.4,5.1,1020.4,50,14,1.8,1
2010/2/22,11.2,7.8,1017.3,59,16.7,6.6,0
2010/2/23,12,8.6,1015.5,62,18.8,6.4,2
2010/2/24,15.4,10.6,1015.6,62,22.9,9.4,2
2010/2/25,18.1,12.8,1011.9,62,20.9,13.8,2
2010/2/26,14.8,14.6,1007.5,86,18.6,11.5,8.75
2010/2/27,11.6,10.7,1011.1,78,12.9,10.3,3
2010/2/28,12.3,9.7,1016.5,69,16.8,10.3,2.75
2010/3/1,13.4,12.7,1010.3,82,17.7,10,8
2010/3/2,11.7,10.3,1012.7,75,14.5,10.5,2
2010/3/3,11,8.4,1018,64,12.6,8.7,3
2010/3/4,12.7,12.1,1010.7,82,18.5,7.7,8.75
2010/3/5,13.6,12.7,1013.6,81,16.4,11.9,3
2010/3/6,11.9,11.7,1014.4,84,14.5,9.6,5
2010/3/7,9.3,8.9,1019,76,10,8.5,2
2010/3/8,9.1,6.8,1023.3,60,12.9,6.8,0
2010/3/9,5.8,7.6,1015.5,83,7.5,3.5,12
2010/3/10,3.7,5.7,1014.8,71,5.6,1.1,16
2010/3/11,6.7,5.8,1023.9,61,11.4,1.5,2.75
2010/3/12,12.6,8.2,1020.8,56,17.9,5.8,0
2010/3/13,14.5,11.4,1022.1,69,17.7,11.2,3
2010/3/14,14.1,11.4,1022.6,70,17.2,10.8,5
2010/3/15,16.7,13.6,1010,72,20.3,13.4,8.75
2010/3/16,10.1,5.9,1017.7,48,13.4,8.8,2.75
2010/3/17,9.3,4.3,1023.1,37,12.7,6.4,1
2010/3/18,9.6,6.8,1015.9,56,13.8,5.9,2
2010/3/19,11.3,6.5,1014.3,50,17.5,4.1,1
2010/3/20,19.2,14.7,1004.8,65,24.8,13.8,8
2010/3/21,10.6,5.3,1012.9,42,13.8,7.5,2
2010/3/22,10.9,6.9,1016.1,53,16.5,5.8,0
2010/3/23,10.6,10.7,1012.8,84,12.1,9.5,8
2010/3/24,9.9,10.1,1012.5,83,11.1,8.8,5
2010/3/25,8.9,9,1011.8,78,10.7,7.3,5
2010/3/26,7.1,4.2,1022,41,10.2,3.8,2
2010/3/27,8.1,5.4,1025.3,50,12.9,2.2,0
2010/3/28,10.9,6.9,1021.8,54,15.1,7.9,4
2010/3/29,10.1,6.4,1025.2,52,14,7,4
2010/3/30,9.5,5.3,1027.9,45,13.8,5,0.5
2010/3/31,13.5,9.1,1019.3,58,16.6,10,0
2010/4/1,17.2,15.7,1009.3,81,21.7,12.2,9.75
2010/4/2,11.9,8.8,1015.1,63,14.9,9.5,3.5
2010/4/3,10.3,6,1022,48,14.2,7.3,2
2010/4/4,12.4,8,1019,54,19.1,6.5,2
2010/4/5,16.2,11.6,1013,63,20.6,13.5,0
2010/4/6,16.3,12.5,1013.9,68,22.7,12.3,2.75
2010/4/7,11.6,7.5,1018.8,54,15.3,8.3,3.5
2010/4/8,11.2,6.3,1021,47,16.4,6.5,0
2010/4/9,14.5,8.9,1016.6,53,17.6,11,5
2010/4/10,17.6,13,1012.3,65,23.3,12.8,3
2010/4/11,16.2,15.2,1012,83,19.5,14.8,5
2010/4/12,14.5,14.7,1007.4,89,16.4,13.2,8
2010/4/13,12.8,9.7,1013.9,64,15.9,10.5,0
2010/4/14,9.4,5.2,1022,44,12.2,8.2,0
2010/4/15,9.7,6.7,1020,55,13.6,6.9,5
2010/4/16,10.9,7.1,1020.1,55,15.7,6.7,2
2010/4/17,12.5,7.8,1024.1,55,18.1,6.5,1
2010/4/18,14.6,8.2,1024.2,50,19.9,9.1,3.5
2010/4/19,16.1,11.4,1018,64,19.1,14,0
2010/4/20,15.3,14.8,1010.1,85,17.8,13.1,4.75
2010/4/21,15.7,15,1012.3,84,18.4,14.6,2
2010/4/22,13.6,13.6,1006.7,87,15.2,12.3,8
2010/4/23,12.5,11,1012.9,76,14.9,11,5
2010/4/24,12.9,9.2,1019.4,63,17.4,9.5,4
2010/4/25,13.7,7.6,1023.4,50,20.2,7.3,2
2010/4/26,16.4,8.8,1019,48,22.4,11.3,3
2010/4/27,15.3,10.9,1009.9,63,21.8,11.6,5
2010/4/28,14,7.7,1011.5,50,22.1,8.2,2
2010/4/29,13.4,6.4,1015,42,17.4,10.1,1
2010/4/30,15,8.2,1015.4,49,19.8,9.7,2
2010/5/1,15.4,7.4,1016.9,43,19.3,11,1
2010/5/2,18.4,11,1017,52,25.8,10.5,2
2010/5/3,22.1,15.9,1016.4,61,27.9,17.7,2
2010/5/4,21.6,15.7,1014.5,62,27.3,17.5,1
2010/5/5,21.2,15.7,1011.1,63,25.6,17.4,3.5
2010/5/6,22.9,18.3,1006.1,65,25.4,20.7,3
2010/5/7,19.9,12,1006.4,53,24.8,16.5,0
2010/5/8,19.9,10.8,1008.1,47,27.6,13.6,2
2010/5/9,21.9,10.9,1007.6,43,27.7,17.3,3
2010/5/10,16.8,15.7,1005.6,83,21.2,15.4,9
2010/5/11,17.1,15.6,1008.9,80,21.4,14.9,5
2010/5/12,16.4,12,1012.7,65,20.5,13.3,2
2010/5/13,16.4,11.2,1014.4,61,20.7,12,0.5
2010/5/14,16.5,10.7,1016.8,58,20.9,11.6,1
2010/5/15,17.9,10.8,1016.9,54,22.8,13.2,0
2010/5/16,19.8,12.5,1017.5,55,25.2,14.3,2
2010/5/17,22.6,14.3,1015.9,53,27.7,16.4,2.75
2010/5/18,22.1,16.3,1010.2,62,24.7,20.5,2
2010/5/19,21.3,21.7,1006.2,85,24.4,19.7,0
2010/5/20,20.2,19,1010.6,81,24.1,18.4,5
2010/5/21,20.6,15.4,1010.9,65,26.3,14.8,0.5
2010/5/22,20.8,17.2,1004.4,70,23.8,18.2,0
2010/5/23,21.5,22.4,995,87,23.3,19.2,8.75
2010/5/24,20.5,14.6,997.7,61,23.5,18.5,3.5
2010/5/25,19.7,14.7,1001.3,64,22.6,17.4,2.75
2010/5/26,16.8,14.1,1008.4,74,20.2,14.5,3.5
2010/5/27,15.9,12.2,1014,68,19.8,13.6,5
2010/5/28,16,12.3,1013,68,19,11,3
2010/5/29,18.4,13.9,1008.7,66,23.7,14.4,0
2010/5/30,17.8,13,1009,64,21.7,14.9,2
2010/5/31,18,13.7,1010.4,67,22.5,14.5,0.75
2010/6/1,19.4,16.6,1011.5,74,24.2,16.9,3
2010/6/2,20.3,15.9,1014.7,68,26.8,15.7,2.75
2010/6/3,21.6,16.5,1016.3,65,27.1,16.5,2
2010/6/4,21.5,17.9,1014.2,70,25.1,18.4,0
2010/6/5,22.3,16.5,1011,63,28,17.6,1
2010/6/6,22.7,17.2,1010.5,63,27.6,19.2,2
2010/6/7,22.4,16.8,1012.4,63,27,19.3,3
2010/6/8,22.5,17.2,1011.6,63,26.8,19.6,0
2010/6/9,22.5,16.8,1012.2,62,26.4,18.3,2
2010/6/10,23.1,17.3,1012.8,62,27.9,19.1,0.5
2010/6/11,23.8,18.7,1011.9,64,30.2,19.5,2
2010/6/12,25.9,17.9,1007.7,55,31.2,22,3
2010/6/13,23.3,18.8,1005.1,66,27.9,21.3,5
2010/6/14,24.1,19.9,1005.7,67,29.4,21.8,3
2010/6/15,21.4,22.5,1003.8,88,23.7,20.7,0.75
2010/6/16,23.9,21.8,1005.6,75,28.7,20.8,0
2010/6/17,24.9,23.9,1005.4,76,29.1,21.4,3
2010/6/18,24.3,26,1001.3,86,26.7,23.1,8.75
2010/6/19,25,24.9,1003.9,79,28.8,22.8,3
2010/6/20,24.5,24.3,1003.5,79,27.4,22.7,5
2010/6/21,24.6,23.9,1004,77,27,22.5,5
2010/6/22,25.1,21.2,1006.2,67,29.1,22.3,0
2010/6/23,24,22.6,1006.9,76,27.1,22.4,3
2010/6/24,24.3,22.2,1008,74,28.2,21.8,0
2010/6/25,23.3,23.5,1007,82,25,22.3,8.75
2010/6/26,24.9,27.1,1007.3,86,27.7,22.6,9
2010/6/27,25.8,27.6,1009.3,83,30,22.6,8.75
2010/6/28,24.7,26.4,1007.1,85,29,21.8,9
2010/6/29,24.4,26.4,1006.9,87,26.9,23.5,8.75
2010/6/30,24.3,26.2,1005.1,86,27,22.8,5
2010/7/1,26.3,26.8,1003.9,79,31.4,22.6,2.75
2010/7/2,27.7,28.5,1002.1,77,30.6,24.2,3
2010/7/3,27.7,28.8,998.6,78,29.2,25.4,5
2010/7/4,24.1,27.4,998,91,25.6,23.2,8.75
2010/7/5,24.6,26.5,997.7,86,28.2,22.8,4.75
