Date,temp,vap_pressure,atm_pressure,humidity,temp_max,temp_min,weather_num
2000/1/1,1,4.9,949.6,75,6.5,-2.7,3
2000/1/2,3.3,5,945.3,64,9.3,-2.5,2.75
2000/1/3,6.4,5.7,939,59,10.9,-1.1,0
2000/1/4,1.2,4.4,946.8,68,9.4,-4,1
2000/1/5,1.9,4.6,951.1,68,8.4,-1.8,0.5
2000/1/6,5.8,7.3,945.4,76,12.2,-1.4,2
2000/1/7,7.7,8.9,939.4,84,12.4,1.2,3
2000/1/8,2.9,5.4,944.4,72,7.6,-1,2
2000/1/9,2,5.2,948.4,74,6.3,-3.2,0
2000/1/10,5.1,6.1,941.1,71,13.2,0.3,4
2000/1/11,0.4,4.3,949.9,70,4.9,-2.7,2.75
2000/1/12,0.3,4.8,949.6,76,3.9,-3,2
2000/1/13,4.2,7.7,938.1,93,8.2,1.1,8.75
2000/1/14,6.8,5.9,938.9,62,12.3,2.4,0
2000/1/15,2.8,5.4,947.3,74,9,-0.9,2
2000/1/16,1.4,5.4,947,81,6.2,-2.7,3
2000/1/17,1.8,6.1,942.2,88,3.9,0.2,3
2000/1/18,2,5.2,941.3,74,6.8,-0.8,0
2000/1/19,3.6,4.5,939.4,61,10.5,-2.3,2
2000/1/20,1.3,3.5,939.1,52,5.4,-3,2.75
2000/1/21,-3.6,2.5,948.7,55,-0.8,-7.6,0
2000/1/22,-3.7,2.8,956.2,61,3.5,-9.7,0
2000/1/23,3,5.6,948.5,73,7.6,-5.2,0
2000/1/24,3.2,6.2,945.3,81,9.5,-1,0.5
2000/1/25,-2.1,3.7,945.3,71,1.6,-6.2,6.25
2000/1/26,-3.6,2.8,943.9,62,2.6,-6.8,2.75
2000/1/27,-4.5,2.6,946.6,61,2.5,-9.9,0.75
2000/1/28,-3.5,2.8,953.5,62,4.4,-10,1
2000/1/29,-1.4,3.1,957,59,6.9,-8.7,2
2000/1/30,4.4,4.3,948.4,52,9.6,-1.1,3
2000/1/31,-0.9,4,947.4,69,3.2,-6,0.5
2000/2/1,-3.1,3,950.6,63,4.1,-9,1
2000/2/2,-1,3.2,948.7,59,7.1,-7.6,2
2000/2/3,-0.1,3.7,947.3,63,7.9,-6.4,0
2000/2/4,-0.4,4.2,946.9,71,6,-4.3,3
2000/2/5,-1.4,3.4,952,64,7.1,-7.9,1
2000/2/6,2.3,5.5,941,75,8.7,-4.3,0
2000/2/7,3.1,4.4,934.2,61,10.2,-1.2,2
2000/2/8,-0.2,3.6,924.9,59,6.7,-3.6,2
2000/2/9,-3.1,3.4,933.3,70,2.2,-7.6,5.25
2000/2/10,-4,2.8,941.7,64,4.4,-11.1,1
2000/2/11,-2.7,3.8,940.2,75,5.4,-9.8,0
2000/2/12,0.8,4.4,940,71,8.2,-4.1,0
2000/2/13,0.2,4.5,941.9,73,5.7,-3.2,3
2000/2/14,2.7,4.4,935,62,10,-3,2.75
2000/2/15,-0.5,4,926.3,68,2.9,-4.5,6.25
2000/2/16,-4.4,3.2,932.7,71,-1.8,-7.7,6.25
2000/2/17,-3.8,2.9,940.1,63,3.7,-10.6,2
2000/2/18,-2.6,3,942.7,61,2,-6.8,6.25
2000/2/19,-1.6,3.1,943.1,58,5.4,-8.4,0
2000/2/20,0.2,5.3,932.6,85,3.2,-1.8,0.75
2000/2/21,-1.7,3,935,58,2.8,-4.7,2.75
2000/2/22,-2.1,2.7,940.9,54,4.3,-7.5,2
2000/2/23,-1.8,3,943.9,57,3.5,-8.3,0.5
2000/2/24,-2.2,4,939.9,76,0.5,-7.7,0.75
2000/2/25,-4.8,2.5,944.9,61,1.8,-9.9,2
2000/2/26,-3.1,3.2,940.8,66,2.9,-7.9,3
2000/2/27,-0.1,4.1,939,69,5.6,-4.6,6.25
2000/2/28,-0.7,3.4,940.3,59,5.1,-4.7,6.25
2000/2/29,-3.2,2,946,45,3.6,-8.1,2
2000/3/1,-2.1,2.8,950.7,54,6.6,-9.2,1
2000/3/2,0.5,3.5,949.6,60,11.2,-7.7,1
2000/3/3,4.2,3.9,951.2,52,14.2,-5.2,0
2000/3/4,6.8,6.3,942.7,65,10.7,4.6,0
2000/3/5,4.6,6.4,939.2,76,10.6,-0.9,0
2000/3/6,3.9,4.5,939,61,12.8,-2,2.75
2000/3/7,4.6,4.2,936,48,9.5,0,2
2000/3/8,0.5,3.4,936.3,55,5.7,-2.9,3.25
2000/3/9,-0.5,2.9,940.3,50,4.9,-4.1,3
2000/3/10,-0.9,2.5,947.7,48,6.8,-6.8,1
2000/3/11,1.3,3.1,943.8,50,8.8,-5.5,0
2000/3/12,2.3,5.4,936.4,76,8.3,-1.9,6.25
2000/3/13,1.8,3.6,940.9,56,10.4,-4.9,2
2000/3/14,-0.2,3.5,945.1,60,6.7,-6.3,2
2000/3/15,1.5,3.5,946.4,55,8.9,-5.7,0.5
2000/3/16,1.6,5.9,929.1,86,3.5,-0.2,0
2000/3/17,1.3,4.9,936.8,73,5.8,-3,3
2000/3/18,2.8,3.6,947,53,13.1,-6.5,1
2000/3/19,8.3,5.5,939,52,14.7,4.1,3
2000/3/20,3.8,4.6,940,59,8.5,-0.5,2
2000/3/21,3.1,3.9,943.7,52,10.3,-2.6,0.5
2000/3/22,3,4,947.1,56,8.9,-1.7,5.25
2000/3/23,5.7,5.5,943.9,63,15,-3.5,0.5
2000/3/24,4.6,6.3,929.8,75,10.5,0.4,5
2000/3/25,2.1,4.3,935.8,61,6.3,-0.6,6.25
2000/3/26,0,4.5,937.9,74,6.4,-3.3,6.25
2000/3/27,3.5,4,944.5,54,13.4,-5.7,1
2000/3/28,7.5,7.1,941.6,69,12.4,3.1,8.75
2000/3/29,8.6,6.5,928.8,59,13.7,4.1,0
2000/3/30,6.6,5,935.6,55,14.3,0.4,2
2000/3/31,8.1,5.1,936.2,53,17.7,-1.2,0
2000/4/1,6.5,3.4,941.4,37,12,1.2,2
2000/4/2,4.4,3.6,949.6,45,11.4,-1.6,0.5
2000/4/3,6.4,4.8,947.6,52,16.3,-0.1,0
2000/4/4,9,5.9,947.8,55,17.5,0,0
2000/4/5,7,9.1,938.3,91,9.9,4.3,8
2000/4/6,7.6,6.2,943.2,61,12.6,1.7,2
2000/4/7,10.4,5.8,945.8,51,18.8,-0.8,0
2000/4/8,9.8,5.3,946,47,16,1.9,2
2000/4/9,10.2,6.4,950.2,56,20.6,-1,0.75
2000/4/10,12.1,9.9,938.9,70,15.4,9.3,2
2000/4/11,7.2,4.7,932.4,48,10.8,3.6,1
2000/4/12,12.7,3.7,932.4,27,19.3,5.6,2
2000/4/13,13.3,4.6,936.3,34,21.8,6.3,0.5
2000/4/14,14,7,937.7,44,18.8,7.5,5
2000/4/15,6.1,8.3,937.2,88,7.9,3.6,8
2000/4/16,4.9,6.5,936.2,76,10,2.1,5
2000/4/17,6,4.9,942.3,57,14.6,-1.1,0.75
2000/4/18,10.7,5.2,945.5,45,18.8,0.3,0
2000/4/19,12.6,8,944.1,56,17.1,9.1,2
2000/4/20,9.3,9.8,942.1,84,13.3,6,0
2000/4/21,12.2,11.4,938.5,81,17.6,8.6,2
2000/4/22,14.6,8.2,932.6,53,20.9,7.3,0
2000/4/23,12.9,5.8,930.8,39,16.6,7.7,2
2000/4/24,9.6,5.4,935,47,17.7,4.5,2
2000/4/25,11.7,5.1,939.2,43,20.1,1.6,2
2000/4/26,9.8,9.1,936.9,76,12.1,8.4,8
2000/4/27,12.5,9.7,928.5,69,21.1,8.1,2
2000/4/28,10.6,6.2,934,51,16.3,4.3,2.75
2000/4/29,9.9,6.5,943.8,57,18,1.9,2
2000/4/30,11.7,7.5,943.2,57,19.8,3.2,3
2000/5/1,15.3,9.5,939.1,57,22.7,9.9,2
2000/5/2,14.6,9.7,938.7,63,24.3,7.9,3
2000/5/3,12.3,9.6,938.3,70,21.2,6.7,2
2000/5/4,12.2,7.6,941.2,59,21.4,4.8,2
2000/5/5,13.7,8,945.8,57,23.8,4.5,1
2000/5/6,17.2,10.6,946.2,57,26.6,7.9,0
2000/5/7,18.2,11.6,946.5,57,23,11.9,3
2000/5/8,17,11.5,944.7,61,23.2,11.5,3
2000/5/9,18.7,10.5,943,53,28.5,10.3,2
2000/5/10,19.1,11.6,942.7,56,28.8,10.9,0
2000/5/11,18.1,13.2,939,65,24,14.3,2.75
2000/5/12,15.5,13.8,937.8,78,19.1,12.1,2
2000/5/13,18.2,13.8,939.4,68,23.9,13.5,3
2000/5/14,16.1,13.3,939.2,74,22.3,12.7,0
2000/5/15,14.2,13.1,939.7,82,21,11.3,0
2000/5/16,15.1,11.5,939.5,70,22.6,9.6,0.75
2000/5/17,14.4,12.1,938.8,76,21.3,9.8,2
2000/5/18,14.8,11.9,939.4,73,21.5,10.9,3
2000/5/19,14.1,12.2,942.4,77,18.5,10,3
2000/5/20,12.9,13.2,941.1,89,15.1,11,8.75
2000/5/21,15.5,11.5,941,68,22.1,10.1,3
2000/5/22,17.9,11.2,943.9,59,26.8,8.1,0
2000/5/23,21,12.2,941.3,51,28.9,15.9,2
2000/5/24,22,10.9,938.6,44,29.8,14.7,2
2000/5/25,20.4,11.9,943.4,54,29.8,12.3,2
2000/5/26,22.7,14.6,944.1,57,31.8,14,0
2000/5/27,19.3,14.5,940,65,22.1,16.9,5
2000/5/28,23.3,14.1,929.8,51,28.9,17.4,0.5
2000/5/29,19.5,10.1,938.4,46,25.8,13,2.75
2000/5/30,20.7,10.6,940.7,48,31.2,10,2
2000/5/31,16.2,14.5,936.8,79,19.3,14.5,8
2000/6/1,18.2,15.3,937.7,74,24.3,12.8,0
2000/6/2,17.4,13.2,944,68,26.2,11.1,0
2000/6/3,17.1,14.9,939.7,77,22.5,13,0
2000/6/4,16.3,11.4,936.9,64,23.5,10.4,0
2000/6/5,17.9,10.6,939.8,56,27.5,8.5,2
2000/6/6,20.5,13.2,938.2,58,28.2,13,2
2000/6/7,22.5,13,937.2,52,32.4,13.2,0.5
2000/6/8,22.8,15.1,936.7,57,29.9,16.4,3
2000/6/9,16.8,16.7,933.6,87,21.3,14.8,0.75
2000/6/10,17.1,15.3,941.3,78,19.9,14.7,3
2000/6/11,16.2,14.5,940.3,79,20.4,13.6,0
2000/6/12,16.8,14.9,938.1,79,20.5,13.9,3
2000/6/13,17.7,16.7,935.4,83,23,14.6,2
2000/6/14,17.2,16.5,936.5,85,22.7,13.5,5
2000/6/15,20.2,14.9,943.2,66,28.6,11.3,2
2000/6/16,22.8,16.4,945.2,63,31.9,14.8,2
2000/6/17,18.3,18,944.2,86,21,15.7,0
2000/6/18,20.6,18.2,940.5,77,28,14.6,3
2000/6/19,23.2,18.6,939.8,67,30.1,18.4,2
2000/6/20,24.3,17.7,940.6,61,31.8,17.9,2
2000/6/21,21.7,18.5,940.2,71,27.1,18.8,2
2000/6/22,22.1,17.6,940.2,68,28.1,17,3
2000/6/23,19.2,20.6,937.9,93,21.5,17.9,8
2000/6/24,19.3,20.5,937.2,92,21.8,17.8,8.75
2000/6/25,20.1,19.8,940.1,84,24.6,17.8,4.75
2000/6/26,20.3,20.6,942.6,87,27.7,17.4,5
2000/6/27,21.3,20,938.7,79,23.4,18.9,8.75
2000/6/28,22.5,22.2,933.5,82,25.2,19.5,5
2000/6/29,22.9,21.1,937.9,76,28.9,18.2,3
2000/6/30,26.8,20.6,940.7,60,31.3,22.8,0
2000/7/1,26.7,22.7,943.6,66,33.2,22.1,0
2000/7/2,24.9,22.6,944.1,74,33.3,19.8,0.75
2000/7/3,24.8,20.2,944.1,67,32,19.8,0.5
2000/7/4,21.8,18.7,944.2,73,30.3,17.4,0
2000/7/5,20.8,18,942.7,76,30.1,15.8,0
2000/7/6,22.5,18.7,940.4,71,30.9,15.7,2.75
2000/7/7,21.6,18.7,935.9,74,26.6,17.9,3
2000/7/8,20.6,18.1,928.5,76,26.5,16.8,0
2000/7/9,21.9,18.1,940.1,71,29,16.3,2
