Date,temp,vap_pressure,atm_pressure,humidity,temp_max,temp_min,weather_num
1995/1/1,16.6,11.4,1018,61,17.6,15.3,5
1995/1/2,17.7,11.8,1018.7,58,20.3,14.9,2
1995/1/3,20,17.2,1012.8,73,22.8,16.8,2
1995/1/4,17.7,15.6,1009.5,76,21.7,15.9,8.75
1995/1/5,15.3,9,1014.2,52,16.5,13.7,3.5
1995/1/6,15.4,8.3,1018.1,47,17.3,13.6,2.75
1995/1/7,16.1,9.5,1019,52,19,13.3,2
1995/1/8,16.3,11,1016.2,60,20.9,11.6,2
1995/1/9,16.9,12.5,1013,66,21.7,12.5,2.75
1995/1/10,17.5,11.9,1012.5,59,21.4,13,2
1995/1/11,17.2,16.5,1010.1,84,18.6,16.2,5
1995/1/12,17,15.2,1010.3,79,19.9,15.1,3
1995/1/13,15.6,10.2,1013.2,58,16.7,14.5,5
1995/1/14,14.6,8.9,1015.9,54,15.7,13.7,3
1995/1/15,15.1,9.8,1017.1,57,16.8,12.9,3.5
1995/1/16,15.1,12.4,1015.8,72,16.1,14.1,8.75
1995/1/17,15.5,9.1,1018.7,52,17.6,13.1,2
1995/1/18,15.2,10.3,1018.1,60,19.6,10.3,2
1995/1/19,17.7,15,1013.6,74,22.1,13.4,3
1995/1/20,18.6,16.9,1012.9,80,21.7,15.2,2
1995/1/21,20.6,18.4,1012,76,24.1,17,2
1995/1/22,22.1,21.5,1009.3,81,24.8,20.1,2
1995/1/23,17.9,17.5,1011.1,85,21.2,15.6,8.75
1995/1/24,16.6,11.9,1016.1,63,18.3,15,5
1995/1/25,15.7,9.6,1019.4,54,17.6,14.9,5
1995/1/26,14.4,10.6,1017.4,66,16.6,12.6,8.75
1995/1/27,13.9,13.6,1014.9,86,15.2,12.7,0.75
1995/1/28,14.5,12.1,1015.3,74,15.6,13.7,8.75
1995/1/29,14.4,9.9,1017.8,61,16.8,12.6,4
1995/1/30,14.4,10,1018,61,17.4,12.4,5
1995/1/31,13.1,10.5,1019.1,70,14,12,8
1995/2/1,13.2,8,1021.8,53,15.5,11.1,2
1995/2/2,13.1,10.4,1020.8,69,16.3,10.7,2
1995/2/3,14.7,9.5,1019.9,56,17,12.6,0
1995/2/4,13.9,11.6,1017,73,14.6,12.9,8
1995/2/5,12.1,7.1,1017.9,50,13.6,11,5
1995/2/6,12.4,7.3,1019.5,51,14.7,10.1,3
1995/2/7,13,8.1,1018.7,54,15.7,10.7,3.5
1995/2/8,15.2,12.1,1014.8,69,19.8,9.4,0.5
1995/2/9,17.5,14,1012.9,70,19.5,15.9,5
1995/2/10,16.8,11.4,1016.8,61,19.5,13.2,2.75
1995/2/11,18.4,14.5,1016.3,69,22,14.1,0
1995/2/12,19.5,19.2,1011.2,85,21.6,17.6,8.75
1995/2/13,17.2,17.2,1009,88,19.1,15.9,8.75
1995/2/14,17,14.3,1008.8,74,18.6,16.1,5
1995/2/15,16.2,11.7,1010,64,18.3,13.7,3
1995/2/16,15.2,9.7,1013.2,57,16.8,13.8,4
1995/2/17,15.1,9.2,1015.2,53,16.8,13.8,3
1995/2/18,19.7,17.8,1009.1,76,22.5,16,3
1995/2/19,19.3,16.3,1008.2,73,21.2,17.8,2
1995/2/20,17,11.9,1012.1,62,18.5,15.7,3.5
1995/2/21,15.2,10.5,1013.2,61,16.7,14,3
1995/2/22,14.5,14.3,1013.2,86,15.5,13.5,8
1995/2/23,17,15.4,1011.4,80,19.8,14.4,3
1995/2/24,17.2,16.5,1009.8,84,18.7,16.3,5
1995/2/25,16.2,16,1008.3,87,18.5,13.9,8.75
1995/2/26,14.5,10.7,1009.8,65,16.6,12.2,8.75
1995/2/27,13.6,11.2,1009.8,73,16.2,12,8.75
1995/2/28,14.6,10.2,1010.4,62,17.8,12,2
1995/3/1,14.5,9.6,1012.7,58,16.6,12.8,0
1995/3/2,15.6,10.8,1010.9,61,18.4,12.4,3
1995/3/3,15.9,14.7,1005.4,81,17.8,14.7,8.75
1995/3/4,13.7,7.7,1010.6,49,15.5,11.5,3
1995/3/5,13.1,7.6,1014.6,50,15.6,10.9,3
1995/3/6,14.4,9.7,1014.7,60,19.3,9.1,2
1995/3/7,17.6,12,1013.9,60,21.4,13,2
1995/3/8,18.5,12.7,1013.7,60,21.6,15.2,3.5
1995/3/9,20.6,17.3,1009.4,71,23.1,18.4,8.75
1995/3/10,17.1,14.1,1008.2,71,21.8,15,8
1995/3/11,16,10.4,1010.5,58,18.7,12.8,2.75
1995/3/12,15.6,11.7,1010.8,66,17.5,12.7,5
1995/3/13,16.3,10.4,1013.8,56,18,14.9,3
1995/3/14,18,13,1016.2,63,21.1,14.8,3
1995/3/15,19.5,15.1,1014.4,67,22.1,18,2
1995/3/16,20.4,21.6,1010.2,90,22.9,19.6,9
1995/3/17,18,18.8,1012.3,91,20.1,15.9,9
1995/3/18,15.1,13.4,1016.5,78,16.5,14.5,8.75
1995/3/19,15.5,10.1,1018.4,58,17.8,13.6,3.5
1995/3/20,17,12.4,1016.6,64,19.7,14,5
1995/3/21,20.1,20.5,1010.6,87,22.5,18,8
1995/3/22,20.8,18.7,1008.5,77,23.4,18.8,2
1995/3/23,22.2,22.5,1007.2,84,25.3,19.5,5
1995/3/24,22.3,21.8,1005.7,81,24,20.9,2
1995/3/25,19.8,20.3,1005,87,24.5,15,2
1995/3/26,14.3,10.3,1009.6,63,16,12.9,3
1995/3/27,16,9.1,1011.5,50,19.4,12.2,2.75
1995/3/28,17.8,11.9,1011.8,59,21.6,13.3,2
1995/3/29,20.7,18.7,1006.3,76,22.1,18.4,5
1995/3/30,21.1,23,1003.3,92,23.2,18.9,8.75
1995/3/31,19.3,18.8,1006.2,84,21.7,17.7,5
1995/4/1,16.6,14.9,1009,79,18.4,14.1,8.75
1995/4/2,15.4,14.1,1010.6,81,16.9,13.7,8.75
1995/4/3,16.2,11.8,1014,64,18.5,14.4,5
1995/4/4,17.6,12.5,1013.4,62,20.8,13.1,2.75
1995/4/5,19.2,20.1,1009.7,90,21,17.7,8
1995/4/6,19.8,19.5,1006.8,85,20.8,18.3,5
1995/4/7,18.2,14.3,1007.8,69,20.6,16.4,5
1995/4/8,20.8,21.7,1009.1,87,23.6,16.8,0
1995/4/9,23.5,27.1,1009.8,94,26.3,21.2,3.5
1995/4/10,22.2,22.2,1010.8,83,25,20.9,3
1995/4/11,22.9,24.1,1007.7,87,25.9,21,5
1995/4/12,18.9,12.6,1011.6,58,21,16.3,1
1995/4/13,19.9,16.3,1010.4,69,23.6,14.6,1
1995/4/14,24.1,26.4,1006.6,88,26,22.3,3.5
1995/4/15,24.7,28.6,1005.5,92,27.2,23.5,3.5
1995/4/16,24.9,28.7,1007.3,91,27.6,23.4,3
1995/4/17,25.2,28.6,1008.4,90,27.7,23.4,2.75
1995/4/18,24.9,27,1007.9,86,27.5,23.5,2
1995/4/19,21.5,22.3,1008.8,85,25.6,18.1,8.75
1995/4/20,20.6,16.1,1011.8,67,23.3,17.8,3.5
1995/4/21,24,25.6,1010,86,26.9,21.4,5
1995/4/22,25.2,27.3,1007.5,85,27.6,23.7,2.75
1995/4/23,24,26.5,1007.4,88,27.7,20.8,5
1995/4/24,24.1,24.6,1008.9,82,27.8,20.6,3.5
1995/4/25,25.7,28.5,1008.7,87,28.1,23.9,2.75
1995/4/26,22.1,21.4,1011.2,80,24.6,21.2,5
1995/4/27,22.9,24.5,1011.5,88,25.5,21,0
1995/4/28,25.2,25.9,1010,81,29,22.8,2
1995/4/29,25.4,26.8,1008,83,28.9,22.3,3.5
1995/4/30,25.8,28,1007,85,27.7,24.5,3
1995/5/1,26.4,28.6,1007.7,84,29.8,24.2,2.75
1995/5/2,26.2,29.6,1008.7,87,29.5,24.7,2
1995/5/3,26,28,1007.8,84,29.3,23.9,2
1995/5/4,24.8,26.1,1004.8,84,29.5,19.6,5
1995/5/5,19,17.1,1007.4,78,20,17.7,8.75
1995/5/6,21.6,18.5,1008.2,72,24.7,18.8,5
1995/5/7,19.4,19.4,1006.9,86,22.1,17.4,8
1995/5/8,20.9,17.1,1008.3,70,23.1,18.1,3
1995/5/9,22.4,20.2,1007,74,24.3,20.9,3
1995/5/10,22,23.2,1004.3,88,23.7,19.5,9.75
1995/5/11,21.9,17.2,1007.8,66,23.9,20,2
1995/5/12,21.7,16.6,1009.8,64,24.6,18.8,0
1995/5/13,22.9,20.2,1007.4,73,26.1,19.9,3
1995/5/14,22.2,23.5,999.6,88,23.7,20.6,8.75
1995/5/15,21.8,18.2,1000.2,69,23.2,20.1,2
1995/5/16,20.9,15.1,1006.7,61,23.3,18.7,0.5
1995/5/17,19.3,16.7,1008.2,75,20.8,17.4,8
1995/5/18,20.7,21.9,1005.7,90,23.4,17.9,8.75
1995/5/19,22.5,22.8,1006,84,24.7,20.8,5
1995/5/20,23.4,25.1,1002.6,87,25.5,21.8,0
1995/5/21,23.7,26.2,998.6,89,26.7,21.5,8.75
1995/5/22,22.5,16.9,1001.4,62,24.3,21.8,5
1995/5/23,22.5,18.7,1006.2,69,25.5,20.4,3
1995/5/24,23.2,21.8,1007,77,24.9,21.8,3.5
1995/5/25,25.3,28.1,1004.4,88,28,22.9,3
1995/5/26,26.2,28.6,1004.6,85,29,23.7,3.5
1995/5/27,24.3,27.4,1007.4,90,27.9,22.8,8.75
1995/5/28,26.2,29.3,1006.2,87,29.4,23.2,2.75
1995/5/29,27.2,31.2,1005.2,87,29.8,25.4,3.5
1995/5/30,27.1,30.8,1006.9,86,30.5,25.5,3
1995/5/31,27,28.5,1007.7,80,30.4,24.9,3.5
1995/6/1,26,27.9,1007.2,83,30.1,24.2,3
1995/6/2,26.3,28.4,1006.5,83,29.7,24.5,5
1995/6/3,26.9,28.9,1003.4,82,29.4,25.1,3
1995/6/4,27.1,29.5,1001.9,82,30.4,25,3
1995/6/5,23.6,26.1,1002.1,89,25.4,22.1,8.75
1995/6/6,24.3,22.2,1003.6,74,26.5,22.7,3.5
1995/6/7,25,29.9,1001,94,27.4,23,5
1995/6/8,26,32,999.2,95,28.9,23.9,8
1995/6/9,25.2,30.4,996.7,95,27.7,24,8.75
1995/6/10,23.9,28.9,998.6,98,24.4,23.2,9
1995/6/11,24.8,28.9,999.3,93,27.4,23,3
1995/6/12,25,30.4,998.6,96,27.1,23.8,8.75
1995/6/13,25.6,27.1,1001.1,83,28.4,24,2.75
1995/6/14,24.3,22.4,1004.7,74,25.6,22.6,3
1995/6/15,23.7,24.8,1003.3,84,25.2,22.3,8.75
1995/6/16,25.1,29.7,999.5,93,26,23.7,8.75
1995/6/17,26.8,33.2,1000.7,94,29.1,25.1,4.5
1995/6/18,27.1,32.8,1003,92,29.6,25.6,3
1995/6/19,27.3,33.6,1004.2,93,29.7,25.7,3.5
1995/6/20,26.9,33.6,1004.2,95,28.4,26,8.75
1995/6/21,27.4,32.9,1001,90,29.9,26,0
1995/6/22,27.6,32.8,999.6,89,30,26,2.75
1995/6/23,27.9,33,1000,88,30.3,26.2,2
1995/6/24,27.9,33.3,1000.3,89,30.5,26.5,3
1995/6/25,28,33.5,999.2,89,30.1,26.8,3
1995/6/26,28.3,33.9,1000.9,88,30.5,27,2.75
1995/6/27,28.5,33.8,1000.2,87,31.1,26.9,0.5
1995/6/28,26.4,30.7,1002.3,89,29.1,23.2,0
1995/6/29,27.2,30,1004.3,83,31,23.9,5
1995/6/30,27.7,32.4,1004.6,87,30.2,24.7,5
1995/7/1,28.5,32.8,1003.9,85,31,27.1,3
1995/7/2,29,33,1004.1,83,31.9,27.5,2
1995/7/3,28.9,33,1005.2,83,31.4,27.6,3.5
1995/7/4,28.9,31.8,1005.5,80,31.6,27.2,0
1995/7/5,29,31.5,1005.8,79,32.2,27.1,2
1995/7/6,29.1,31.1,1006.7,78,32.3,26.8,2
1995/7/7,29.1,30.6,1007.8,76,31.9,27.3,2
1995/7/8,28.8,31.3,1007.8,79,31.8,27.2,2
1995/7/9,27.9,32.1,1006.4,85,29,26.9,5
1995/7/10,28.3,31.4,1005.1,82,30.4,27.2,5
1995/7/11,28.3,32,1005.9,84,31,25.3,8
1995/7/12,28.9,31.5,1008.1,79,32.4,26.8,4
1995/7/13,28.6,29.6,1007.7,76,31.3,27.3,3.5
1995/7/14,27.9,27.6,1004.8,74,31.7,25.3,4
1995/7/15,28.2,28.5,1002.5,75,31.7,25.2,0
1995/7/16,29,30.7,1002.3,77,31.5,26.8,0.5
1995/7/17,29.2,32.1,1003.2,79,31.5,27.7,2
1995/7/18,29.3,31.4,1003,78,31.8,27.9,0
