Date,temp,vap_pressure,atm_pressure,humidity,temp_max,temp_min,weather_num
1990/1/1,6.5,4.9,1013.2,52,10.1,2.3,2
1990/1/2,7.6,6.6,1013,63,10.6,4.8,0
1990/1/3,4.9,5.5,1009.5,63,9.2,1.1,2
1990/1/4,4.5,5,1014.9,59,7.9,2.5,2
1990/1/5,5.7,5.6,1017.4,65,10.4,-0.2,2
1990/1/6,6.8,6.5,1013.1,65,10.4,4.1,3
1990/1/7,5.2,5.4,1022,61,7.4,3.8,4
1990/1/8,6.6,4.8,1025.7,49,10.9,3.8,2
1990/1/9,8,6.2,1021.1,59,11.3,3.6,2
1990/1/10,11.6,10.7,1006.5,76,18.4,8.3,5
1990/1/11,8.4,6.4,1016.5,57,11,6,3
1990/1/12,8.5,7,1012.3,65,11.9,4.2,5
1990/1/13,6.5,6.2,1009.8,62,10,2.9,3
1990/1/14,5,4.9,1015.2,57,8.2,1.3,3
1990/1/15,6.6,5.1,1014.5,52,8.9,3.3,0
1990/1/16,5.8,6.5,1007.2,73,8.8,2.5,5
1990/1/17,6.9,6.1,1013,61,10.4,4.1,3
1990/1/18,9.1,6.9,1013.9,64,13.1,2.9,3.5
1990/1/19,8.7,9,1010.6,79,10.6,7.3,0
1990/1/20,4.6,4.8,1016.8,55,7.3,2.2,2.75
1990/1/21,4.2,5,1020.2,61,8.3,0.8,2
1990/1/22,5.3,5.2,1015.7,62,9.2,0.3,0
1990/1/23,4.2,3.5,1010.4,41,6.5,1.2,0
1990/1/24,0.9,3.7,1012.1,56,4.1,-1,5.25
1990/1/25,1.4,3,1019.9,45,5,-1.7,2
1990/1/26,1.9,3.8,1024.2,54,5.7,-2.5,3.25
1990/1/27,2.8,4,1026,55,6.5,-0.8,5.25
1990/1/28,4.1,4.5,1028.1,56,8.1,-1.3,0
1990/1/29,6.5,7.9,1016,82,9.5,3.7,0
1990/1/30,6.5,6.2,1017,62,9.6,3.8,3
1990/1/31,2.1,5.7,1016,80,3.9,0.9,16
1990/2/1,3,6.5,1013.6,87,5,0.6,13
1990/2/2,4.9,5.1,1023.4,58,7.9,2.6,2.75
1990/2/3,4.5,7.1,1019.5,84,5.5,3.3,8
1990/2/4,5.8,7.3,1017.2,80,7.9,3.4,2
1990/2/5,6.9,6.1,1022.2,61,11,4.2,2
1990/2/6,6,6.4,1024.3,70,9.5,2.7,0
1990/2/7,8.9,6.9,1020.4,62,14,6.3,2.75
1990/2/8,6.8,5.8,1019.5,59,9.5,5.4,0
1990/2/9,7.3,5.1,1023.2,50,11.8,3.9,2
1990/2/10,8.6,6,1022.1,55,13.1,2.5,0
1990/2/11,11.9,12.3,1008.1,86,14.6,10,0
1990/2/12,8.8,6.8,1012.8,59,13.2,5.6,2
1990/2/13,7.2,4.7,1019.3,46,10.9,4.9,2
1990/2/14,6.4,6,1017.9,63,8.7,4.9,0
1990/2/15,8.5,8.6,1014,79,10.9,6.6,0
1990/2/16,8.1,7.4,1014.7,68,12,6.4,2
1990/2/17,8.7,6,1021.6,53,13,6.2,2.75
1990/2/18,10.5,6.4,1023.2,53,15.9,4.5,0
1990/2/19,13.1,10.9,1017.5,71,15,10.9,8
1990/2/20,13.2,9.9,1011.5,65,15.7,10.4,0
1990/2/21,11.8,7.7,1018.6,56,17.6,7.8,2
1990/2/22,12.9,8.2,1016.5,57,19,6.8,0
1990/2/23,13,13.6,1010.8,91,14.2,12,8
1990/2/24,11.9,10.6,1008.1,74,14.1,10.4,5
1990/2/25,9.9,9,1009.9,73,11,8.5,5
1990/2/26,9.3,7.9,1012.5,68,11.8,7.2,3
1990/2/27,7.7,6.2,1018.3,57,10.5,4.1,3
1990/2/28,7.6,4.9,1022.3,48,11.4,3.7,0
1990/3/1,9.5,9.5,1013.7,80,10.4,8.2,8
1990/3/2,9.9,10.2,1009.4,84,10.7,9.2,0
1990/3/3,9.4,10.3,1008.1,87,13.2,7.3,0
1990/3/4,8.5,6.5,1004.3,58,13.1,5.2,3.5
1990/3/5,7.8,6.3,1003.3,60,13,3.3,2
1990/3/6,8.9,5.9,1004.8,52,11.8,5.5,2
1990/3/7,8.1,6.8,1004.8,61,13.6,3.1,3
1990/3/8,5.3,4.3,1016.1,49,8.7,1.9,2
1990/3/9,7.7,5.1,1020.1,49,13.1,1.7,1
1990/3/10,10.1,6.4,1020.5,53,15.4,4,1
1990/3/11,12.7,8.4,1013.4,59,18.2,5.3,0
1990/3/12,10.9,8.2,1002.6,60,15.4,5.1,3
1990/3/13,8.1,4.3,1017.5,41,12.9,5,2
1990/3/14,9.5,6.2,1018.9,53,14.3,2.5,0
1990/3/15,12.1,9.6,1010.1,69,17.4,8.9,3
1990/3/16,10.8,6.4,1016.4,50,15.3,7.9,2.75
1990/3/17,10.1,6.2,1016.4,50,14.5,6.8,2.75
1990/3/18,9.4,6.3,1009.8,54,13.9,6.1,4
1990/3/19,10.1,5.3,1014.8,44,12.5,6.5,2
1990/3/20,12.6,7.3,1012.5,50,17.9,7.1,2
1990/3/21,10.9,5.2,1017,41,16.9,7.3,2
1990/3/22,12,6.6,1019.4,48,18.7,4.7,2
1990/3/23,15.9,10.3,1016,59,22.2,8.9,0
1990/3/24,14.9,13.3,1007.6,75,19.6,9.8,5
1990/3/25,8.4,5.5,1013.9,49,11.7,6.5,3
1990/3/26,8.9,4.5,1018.3,41,14.7,5.8,1
1990/3/27,10.9,6.4,1018.7,50,16.5,4.1,0
1990/3/28,10.7,9.7,1012.3,76,12.9,9,0
1990/3/29,11.7,10.6,1004.2,78,14,9.5,0
1990/3/30,13.7,10.5,1010.7,67,18.3,9.5,0
1990/3/31,14,12.7,1007.6,80,15.3,12.6,8
1990/4/1,16,11.6,1005.1,64,19.9,13.4,3
1990/4/2,16.5,8.4,1008.9,47,23.1,11.6,1
1990/4/3,17.2,9.5,1011,49,23.1,9.8,0
1990/4/4,13.2,13.4,999.8,84,18,8.5,8
1990/4/5,9,5.6,1006.1,49,12.1,6.3,4
1990/4/6,12.4,7.2,1011.8,52,17.3,6.7,2
1990/4/7,11.2,10,1010.8,75,13.3,8.6,0
1990/4/8,13.1,9.9,1001.1,68,15.5,11.3,0
1990/4/9,14.9,8.4,1008.9,51,18.8,11.1,1
1990/4/10,16.5,9.1,1012.7,51,22.1,11.2,3
1990/4/11,17.7,9,1016.4,45,25.7,12,2
1990/4/12,18.5,8.9,1016.3,43,24.9,12.7,2
1990/4/13,17.1,16.8,1005.5,86,18.9,15.6,8
1990/4/14,15.8,10.8,1002.1,61,19.3,14.1,0
1990/4/15,13.9,9.1,1002.6,56,17.5,10.7,0
1990/4/16,13.6,8.7,1003.3,57,20.2,8.7,2
1990/4/17,12.2,8.7,1005.3,61,15.8,9.9,2
1990/4/18,10.7,7,1009.4,54,15.7,8,2.75
1990/4/19,11.6,6.7,1011.5,50,17.9,6.1,2.75
1990/4/20,13.1,9.5,1010,63,18.7,8.7,0
1990/4/21,15,13.2,1006.8,78,19.4,11.6,0
1990/4/22,17.1,14.6,999.9,75,21.7,13.7,0
1990/4/23,15,13.4,995,76,18,11.7,3
1990/4/24,13.4,7.9,1006,51,16.7,9.4,3.5
1990/4/25,13.9,7.7,1013.4,51,19.4,6.2,2
1990/4/26,17.4,10.9,1013.6,55,23.4,11.1,0
1990/4/27,19.5,13,1014.9,59,26.1,13.9,2
1990/4/28,19.7,14.4,1013.7,62,25.1,14.7,2.75
1990/4/29,16.1,12,1013.1,65,21.4,11.3,4
1990/4/30,14.7,7.3,1016.7,44,21.2,10,2
1990/5/1,14.2,7.5,1014.5,46,18.8,11.3,2
1990/5/2,15.6,9.6,1013.7,56,20.2,11.6,0
1990/5/3,16.6,14.3,1010.3,77,19.8,14.9,0
1990/5/4,17.4,18.2,1003.4,93,18.8,15.7,8
1990/5/5,16.4,16.4,1003.7,85,18.3,14.7,0
1990/5/6,18.1,12.7,1012.2,63,24.4,11.6,2
1990/5/7,16.4,14.7,1008.4,79,18.1,14.7,0
1990/5/8,17.6,16.1,1001.8,78,22.4,15.2,3
1990/5/9,20.1,14.2,1007.3,63,25.9,13.4,2
1990/5/10,21.2,17.1,1009.3,68,26.1,16,0
1990/5/11,21,17.4,1008.3,70,24.1,19.1,5
1990/5/12,21.3,17.8,1006.4,71,24.3,18.6,0.5
1990/5/13,21,18.2,1004.1,74,25.1,18.1,3
1990/5/14,19.7,19.9,1000.6,87,21.7,18.3,8
1990/5/15,18.2,12.4,1004.8,59,23.9,12.8,0
1990/5/16,16.8,10.1,1011.9,55,22.1,13,3
