Date,temp,vap_pressure,atm_pressure,humidity,temp_max,temp_min,weather_num
2010/1/1,-0.1,4.1,982.1,66,2.3,-2.1,13.75
2010/1/2,1.2,5.9,990.1,89,2.3,-1.2,16
2010/1/3,-0.8,4.4,999.1,77,1.6,-3.7,3.25
2010/1/4,0.7,4.4,1006.4,69,3,-1.8,3
2010/1/5,-1.6,4,1002,74,1.2,-5.1,13.75
2010/1/6,2.3,4.5,999.8,62,3.5,0.1,3
2010/1/7,0.5,3.4,1006.7,54,2.9,-2.6,2
2010/1/8,-2.2,3.3,1009,64,0.4,-4.2,2.75
2010/1/9,-1.1,3.9,1008.5,69,2.3,-4.1,3.25
2010/1/10,-2.5,2.9,1010.9,57,0.7,-4.1,5.25
2010/1/11,-3.4,3.1,1012.3,66,-1.9,-6.2,13
2010/1/12,-3.5,3.5,1007.7,73,0,-7.3,3
2010/1/13,-3.4,3.4,996.2,71,-0.1,-7.1,3
2010/1/14,-4.5,2.2,1004.8,50,-2.3,-6.6,2.75
2010/1/15,-6.5,2.4,1010.5,65,-3.8,-8.7,5.25
2010/1/16,-6.5,2.5,1014.9,68,-3.8,-9.1,0.5
2010/1/17,-4.6,3.2,1020.7,74,-2.4,-7.6,0
2010/1/18,-1.8,3.5,1019.1,65,0.5,-5,0.5
2010/1/19,-0.6,3.6,1022.1,62,1.6,-3.3,5.25
2010/1/20,2.2,6,1008.5,84,5.3,-1.8,8.75
2010/1/21,-5.9,2.4,1002,60,-1.7,-8.9,6.25
2010/1/22,-6.1,2.3,1005.3,58,-4.3,-8.7,3.25
2010/1/23,-2.9,3.7,1005.4,75,-1.4,-5.3,0.75
2010/1/24,-1.1,3.7,1011.2,66,1,-3.1,13.75
2010/1/25,-0.1,4.7,1002.5,76,4.1,-4.2,13.75
2010/1/26,-5.9,2.5,1010.1,63,-3.3,-7.6,0.5
2010/1/27,0.8,4.2,1010.6,64,5.2,-4.5,6.25
2010/1/28,1,4.7,1000.3,70,5.2,-3.3,0
2010/1/29,-3.4,3.4,1005.4,71,-2.1,-4.4,13
2010/1/30,-2.4,3.5,1011.8,69,0.4,-6.3,0
2010/1/31,0.5,4.3,1011.5,70,4.7,-3.6,2.75
2010/2/1,-5.1,2.1,1012.6,51,-1.8,-6.8,2
2010/2/2,-7.1,2,1007.4,55,-4.8,-10.1,2
2010/2/3,-10.7,1.6,1007.5,60,-9.5,-12.6,13
2010/2/4,-8.8,1.8,1010.8,58,-5.6,-12.6,2
2010/2/5,-9.2,2,1005.4,67,-6.3,-10.9,13.75
2010/2/6,-7.3,2.3,1001.8,61,-1.2,-11.2,0
2010/2/7,-0.6,4.5,1011.4,77,0.8,-2.4,13
2010/2/8,0.3,4.4,1013.2,70,3.3,-4.9,3
2010/2/9,-1,4.2,1006.7,73,2.6,-4.3,13
2010/2/10,-3.2,2.6,1012.9,54,-1.1,-4.3,3.25
2010/2/11,-3.3,3.2,1015.3,68,-1.1,-5.5,13.75
2010/2/12,-5.3,2.6,1014.5,63,-3,-7.3,13.5
2010/2/13,-6.3,2.6,1018.6,68,-3.4,-8.9,3.25
2010/2/14,-5.3,2.8,1019.5,68,-1,-10.8,0
2010/2/15,-4.7,2.8,1019.1,65,-1.8,-7.5,0
2010/2/16,-5.9,3.1,1016.5,78,-4.1,-8.2,13.75
2010/2/17,-5.9,2.5,1019.8,65,-1.2,-10.5,2
2010/2/18,-3.5,3.5,1013.7,73,0.3,-9.3,0
2010/2/19,-1.5,4.4,1005.7,81,1.6,-4,0
2010/2/20,-3.3,3,1007.6,62,-0.4,-7,13.5
2010/2/21,-2.4,2.9,1019,58,0.5,-5.8,0
2010/2/22,-0.2,4.4,1013.7,71,2.4,-4.5,6.25
2010/2/23,1.9,4.4,1011.9,64,4.5,-0.4,3
2010/2/24,2.8,4.9,1017.8,67,5.5,-1.6,3
2010/2/25,5.8,6.5,1012,71,9.8,2.6,0
2010/2/26,3.2,6,1006.8,77,6.4,-0.3,5
2010/2/27,-1.8,2.8,1014.2,53,0,-3.4,0.75
2010/2/28,-1.6,3.5,1012.6,64,0.9,-4,0.5
2010/3/1,-3.5,3.1,1014.9,66,-1.6,-5.5,13.75
2010/3/2,-3,3.2,1014.9,66,0,-6.8,2
2010/3/3,-0.7,4.3,1015.2,74,1.9,-2.4,6.25
2010/3/4,0,3.8,1022.4,62,3.3,-5.2,0
2010/3/5,1.6,5.9,1012,86,3.4,-0.3,0
2010/3/6,1.2,4.7,1014.6,70,4.6,-2.3,6.25
2010/3/7,-3.2,3.7,1022.1,77,-1.3,-6.3,13
2010/3/8,-4.2,2.5,1024.9,58,-0.9,-9.4,5.25
2010/3/9,-2.8,2.9,1023.6,57,0,-7.3,3
