Date,temp,vap_pressure,atm_pressure,humidity,temp_max,temp_min,weather_num
1995/1/1,6,3.4,1010.8,38,10.9,2.2,1
1995/1/2,4.6,4.1,1021.7,48,8.3,1.8,1
1995/1/3,5,4.6,1018.6,52,7.6,1.5,3.5
1995/1/4,5.6,8,1000.9,88,7.9,3.4,8.75
1995/1/5,9.6,7.4,997.8,64,14.4,6,2.75
1995/1/6,5.4,3.8,1003.6,42,10.3,2.2,2.75
1995/1/7,6.4,4.4,1008.7,45,10,1.3,1
1995/1/8,10,4.5,1014.9,36,13.4,6.7,2
1995/1/9,11,6.4,1005.7,48,16.1,3.9,1
1995/1/10,8.6,4.3,1003.7,38,14.9,4.4,0.75
1995/1/11,6.9,3.7,1007.6,38,10.2,2.3,1
1995/1/12,7,3.9,1005.5,40,11,3.2,2
1995/1/13,6,3.7,1001.1,42,11.2,1.7,2
1995/1/14,3.7,2.8,1004.6,36,7.6,1.4,2.75
1995/1/15,3.7,2.5,1009.9,33,8.3,-1.2,1
1995/1/16,4.4,2.6,1013.2,31,7.9,0.5,1
1995/1/17,3.7,3,1015.5,39,7.7,0,2
1995/1/18,5.3,3.6,1011.9,39,9.4,0.6,2
1995/1/19,4.8,3.3,1009.8,39,8.1,2.2,2
1995/1/20,5.3,3.3,1012.4,37,11,0.9,2.75
1995/1/21,7.4,4.8,1017.2,46,11.3,3.4,2
1995/1/22,6.2,6.9,1010.9,72,7.9,5.3,0
1995/1/23,10,8,1002.5,66,13.7,4.6,3
1995/1/24,8.5,5.1,1007.3,47,13,5.2,3
1995/1/25,5.8,3.2,1014.2,35,9.2,3.8,2
1995/1/26,6.7,4,1012.7,39,10.4,1.9,2
1995/1/27,6.4,3.3,1015.1,35,8.8,3.6,0.75
1995/1/28,5.4,5.3,1016.2,58,9.3,1.2,2
1995/1/29,6.8,5.4,1010,56,9.9,3.8,2
1995/1/30,4.8,2.9,1009.9,33,8.3,1.4,2.75
1995/1/31,3.8,2.3,1012.1,29,7.8,-0.9,2.75
1995/2/1,4.5,2.8,1014.8,33,9,0.1,1
1995/2/2,6.1,3.7,1019.5,39,9.4,2.3,2
1995/2/3,6.4,3.9,1020,41,10,3.5,2
1995/2/4,4.6,4.2,1019.6,50,6.2,1.9,3.5
1995/2/5,2.5,6,1009.7,83,4.7,0.8,2
1995/2/6,5.5,4.5,1008.1,53,10.2,1,2
1995/2/7,5.6,3.5,1011.1,39,9.7,2,2.75
1995/2/8,7.5,4.5,1012,43,12.2,2,2.75
1995/2/9,8,6.2,1007.9,57,10.1,4.4,5
1995/2/10,5.8,3.4,1014.7,37,8.6,3,1
1995/2/11,5.7,4.2,1022.6,45,9.1,1.4,1
1995/2/12,7.2,5,1015.5,49,11.4,2.3,0
1995/2/13,8.8,8.2,1004.4,74,12.2,4.9,3
1995/2/14,7.2,7.9,1006.3,78,9.7,6,8.75
1995/2/15,6.8,6.6,1008.4,67,9.9,3.7,5
1995/2/16,6.7,5.1,1006.4,53,10.6,4.4,5
1995/2/17,5.7,2.6,1012.1,29,10.1,2.2,2
1995/2/18,6.8,3,1014.4,30,11.4,3.4,2
1995/2/19,7.5,3.5,1012.2,34,11.6,3.5,2
1995/2/20,7.4,3.8,1008.3,38,11.6,4,2.75
1995/2/21,6.6,3.2,1007.6,33,11,2.4,2
1995/2/22,7.1,3.5,1014.9,36,11.4,3.1,1
1995/2/23,7.6,5.4,1016.3,50,11.9,3,2
1995/2/24,8.3,4.7,1011.9,44,12.6,4.9,0.75
1995/2/25,5.8,4.5,1012.4,49,7.3,4.9,3
1995/2/26,3.9,6.8,1005.8,85,6.1,1.2,12
1995/2/27,7.9,5.4,1004.5,55,13.9,2,2.75
1995/2/28,7.4,4.6,1009.3,45,10.9,4,2.75
1995/3/1,6.3,7.2,1002.5,77,11.6,1,13
1995/3/2,7.6,3.9,1010,38,10.3,5.6,2
1995/3/3,6.4,5.3,1008.7,55,9.7,3.8,3.5
1995/3/4,3.3,6.5,999.9,85,4.6,1.3,13
1995/3/5,5.7,4.7,1006.7,52,10.2,1.7,4
1995/3/6,7.2,3.8,1013.1,40,11.5,2,2
1995/3/7,8.2,5.3,1014.4,48,12.6,3.6,2
1995/3/8,10.1,5.9,1012.2,50,15.4,4.4,2
1995/3/9,9.8,4.3,1015.4,38,14.9,5.1,2
1995/3/10,6.1,6.4,1006.7,71,9.8,4,8.75
1995/3/11,10,6.2,995,53,14.6,5.9,4
1995/3/12,8.5,6.7,1003.9,62,12.9,6.1,2
1995/3/13,7.4,7.2,1009,71,12.7,4.2,3
1995/3/14,9,6.2,1020.2,55,13.3,4.6,2
1995/3/15,9.4,6.4,1025.7,55,12.5,7.2,3.5
1995/3/16,11,9.2,1024.3,69,14,7.5,3
1995/3/17,15.3,14.6,1011.7,84,18,12.8,8
1995/3/18,6.6,7.7,1013.2,78,14.3,4.4,8
1995/3/19,7,6.8,1014.8,69,10.8,4.2,5
1995/3/20,9.6,6,1020,52,13.9,4.7,1
1995/3/21,11.8,7.3,1016.8,54,16.7,6.1,2
1995/3/22,13.9,7.8,1012,50,19.9,8,2.75
1995/3/23,11.4,8.8,1016.2,65,13.4,9.2,3.5
1995/3/24,12.2,10.8,1010.8,76,15.5,10,5
1995/3/25,7.2,9.1,1005.9,88,12.1,2.6,8
1995/3/26,3.4,6.6,1007.8,85,5.6,1.4,13
1995/3/27,8.9,7.2,1010,64,13.5,4.2,2.75
1995/3/28,8.9,5.7,1011.9,52,13.6,6.1,4
1995/3/29,8.6,6.1,1019.8,53,11.7,4.4,3
1995/3/30,9.6,11,1013.6,91,12.4,7.4,8
1995/3/31,15.6,11.7,998,68,19.8,10.7,3.5
1995/4/1,13.5,8.7,999.6,55,17.2,8.2,3.5
1995/4/2,10,4.5,1008,36,13.3,7,0
1995/4/3,9.1,3.3,1012,29,13.3,5.9,2.75
1995/4/4,10.7,5.6,1015.4,43,15.7,4.9,1
1995/4/5,13.2,7.1,1016.7,47,17.7,8.1,2
1995/4/6,14.5,10.5,1011.1,64,18.4,9.6,2
1995/4/7,14.7,12.6,1004.1,74,18.8,12.1,8
1995/4/8,13.9,7.1,1015,44,18.2,10.5,2
1995/4/9,15.2,12.7,1009.5,75,20.7,11.6,4
1995/4/10,14.2,8.3,1006.5,52,18.5,11.7,4
1995/4/11,11.2,7.3,1013.4,54,13.2,8.3,5
1995/4/12,12.4,8.7,998.2,64,18.9,8.8,3
1995/4/13,13.9,6.3,1011.9,39,17.3,9.8,2.75
1995/4/14,12.6,9.7,1013.8,66,14.1,11.2,8.75
1995/4/15,14.2,11.1,1008.5,70,19.1,10.1,0
1995/4/16,13.4,9.7,1014.4,63,16.3,11.3,3
1995/4/17,17.5,10.8,1011.3,56,23.4,13.1,3
1995/4/18,15.6,12.6,1012.7,72,18.8,13.8,2
1995/4/19,17.4,13.3,994.9,67,25.5,12.1,3
1995/4/20,14.3,4.1,1013.1,25,19.3,9.5,1
1995/4/21,15.8,7.8,1019.1,42,21.3,9.7,0.75
1995/4/22,17.5,14.5,1009.5,72,18.9,16.4,5
1995/4/23,21.5,18.7,994.5,73,24.8,17.7,5
1995/4/24,17.7,7.4,1011.1,37,21.7,15.2,0.75
1995/4/25,15.3,14.4,1009.8,83,16.8,13.2,8.75
1995/4/26,17.6,13.1,1000.9,67,23.6,13.5,5
1995/4/27,19.2,7.1,1014.5,32,24,13.7,0.75
1995/4/28,18.9,11.7,1018.4,54,21.6,17,2
1995/4/29,17.9,14.3,1016.4,70,21.7,15.7,2
1995/4/30,18,16.5,1010,81,22.2,15.6,0
1995/5/1,16.4,15.1,1014.6,81,17.7,14.9,8.75
1995/5/2,19.4,18.4,1007.3,82,25.4,14.7,0.5
1995/5/3,19.7,18.4,1003.6,80,22.6,18,3
1995/5/4,18.1,12.1,1006.9,59,20.6,15.2,3
1995/5/5,14.3,13,1006.8,80,16.1,12.9,5
1995/5/6,17.7,12.7,1010.4,64,22.3,13.7,3
1995/5/7,17.7,11.7,1012.1,58,21.3,15.4,0
1995/5/8,16.9,13.8,1010.3,72,20,14.1,5
1995/5/9,19.7,16.3,1011.2,72,24.4,15.4,2.75
1995/5/10,20.7,17.5,1013.6,73,26,16.1,2
1995/5/11,18.8,15.8,1016,73,19.8,17.5,5
1995/5/12,18.4,14.6,1015.5,70,21.5,15.3,5
1995/5/13,17.4,15.8,1006.7,80,21.3,14.8,5
1995/5/14,19,14.8,1003.3,68,21.6,15.4,5
1995/5/15,17.9,18.4,1000,90,18.8,16.6,9
1995/5/16,18.3,17.9,996.2,85,21,16.4,8.75
1995/5/17,17,13.5,1003,70,20.4,13.5,5
1995/5/18,19.7,11.1,1015.5,49,24.3,15.2,1
1995/5/19,20.2,13.1,1017.6,57,25.1,15.4,2
1995/5/20,20.5,14.7,1011.1,62,24.8,17.4,2
1995/5/21,20,15.2,1001,65,21.9,18.4,5
1995/5/22,20.3,16.4,992.2,68,24.6,17.3,5
1995/5/23,19.5,9.4,1003.6,41,23.6,16.8,2
1995/5/24,20.5,10.3,1009.9,44,24.7,15.2,2
1995/5/25,22.3,14.4,1008.4,54,26.7,20,2.75
1995/5/26,21.4,17.8,1002.3,70,25.2,17.6,0.5
1995/5/27,21.3,11.4,1008.4,46,25.5,18.5,2.75
1995/5/28,20.4,14.6,1015.7,61,24.1,16.8,2.75
1995/5/29,17.5,16.5,1008.3,83,20.5,16.2,8
1995/5/30,20.9,17.6,1004.2,72,25.3,16.6,4
1995/5/31,21.6,17.3,1005,68,25.4,18.5,3.5
1995/6/1,20.4,13.6,1008.8,57,24.9,17.5,0
1995/6/2,20.3,15.4,1012.2,65,23.4,16.7,3.5
1995/6/3,21.1,17.8,1010.5,72,24.4,17.7,2
1995/6/4,19.9,19.7,998.3,85,23.3,16.3,5
1995/6/5,21.5,18.8,998.7,74,25.1,18.8,3
1995/6/6,19,15.9,1004.9,73,22.8,15.7,5
1995/6/7,18.2,14.4,1013.7,69,21.6,15.3,0
1995/6/8,18.5,14.6,1015.3,70,22,15.2,3
1995/6/9,18.2,18,1006.5,87,20.3,16.7,8.75
1995/6/10,19.2,15.8,1003.5,72,23.3,16,0.5
1995/6/11,18.7,14.7,1010.7,68,23.3,15.9,3.5
1995/6/12,17.9,13.7,1015.8,67,20.3,15.4,3
