Date,temp,vap_pressure,atm_pressure,humidity,temp_max,temp_min,weather_num,
2005/1/1,4.5,4.5,1003.6,55,8.8,1.3,2.75,
2005/1/2,4.8,3.5,1015.4,42,9.6,-0.8,1,
2005/1/3,7.3,5,1014.5,49,13.5,0.4,0,
2005/1/4,11.6,6.3,1002.7,45,18.5,4.7,2,
2005/1/5,5.3,2.9,1016.6,33,8.1,2.9,1,
2005/1/6,3.4,4.1,1018.7,53,4.9,1.4,0,
2005/1/7,7.8,5.5,1005.8,52,14.3,1.2,1,
2005/1/8,6,2.7,1011.6,29,9.2,3.9,2.75,
2005/1/9,4.6,3,1007.9,36,9.9,1.3,2,
2005/1/10,5.4,3.1,1009.4,34,8.7,1.5,2,
2005/1/11,6.2,3.6,1005.4,39,11.2,2.2,2,
2005/1/12,4.3,3.2,1004,40,8.1,0.4,2.75,
2005/1/13,6.4,2.6,1010.3,27,11.7,0.5,1,
2005/1/14,7.1,4.2,1014.4,42,10.9,3,0.75,
2005/1/15,4.1,6.6,1010.4,81,7.2,2.5,8,
2005/1/16,5.3,7.2,994.5,81,8,2.9,8,
2005/1/17,7.4,5.1,1001.2,52,11.7,2.6,2,
2005/1/18,8.4,3.8,1011.7,34,12,5.3,1,
2005/1/19,7.4,5.9,1010.9,57,10.4,5.4,2.75,
2005/1/20,6.8,5,1006.2,52,11,3.1,2,
2005/1/21,6.3,2.9,1012,31,10,4,1,
2005/1/22,5.6,2.8,1017.7,30,9.7,3.5,2,
2005/1/23,3.3,4.2,1018.4,55,5,1.9,3.25,
2005/1/24,5.4,5.9,1010.6,66,9.5,2,2.75,
2005/1/25,8.1,4.3,1004.2,41,11.9,3.6,0.75,
2005/1/26,4,5.6,1006.2,70,6.5,1.7,8,
2005/1/27,6,4.3,1009.1,46,9,2.6,0,
2005/1/28,6.7,5.4,1009.2,55,10.4,3.1,0,
2005/1/29,7.6,6.7,1004.5,64,11.2,3.7,3.5,
2005/1/30,6.9,3.5,997.6,35,9.8,4.1,1,
2005/1/31,6,3.1,995,33,10.2,3.2,0.75,
2005/2/1,4.4,2.4,987,30,8.5,1.4,2,
2005/2/2,4.8,2.1,998.3,26,8.7,0.3,2,
2005/2/3,5.2,2.6,1006.1,31,10.1,0.9,1,
2005/2/4,7.2,2.8,1007.2,28,11.6,3.6,1,
2005/2/5,6.4,3.3,1006.2,35,10.6,3,2,
2005/2/6,6.1,2.5,1015,27,10.4,3.1,2,
2005/2/7,6,3.8,1021.2,41,8.2,3.4,3.5,
2005/2/8,4.5,6.7,1018.1,80,5.9,3.7,0.75,
2005/2/9,7.5,7.2,1017.1,70,12,1.9,2.75,
2005/2/10,9,5,1007.2,45,14.7,4.9,3.5,
2005/2/11,5.5,2.5,1016.7,28,8.4,3,3,
2005/2/12,5.3,2.5,1019.4,28,8.6,1.9,0,
2005/2/13,5,3.9,1017.1,45,7,2.4,0.5,
2005/2/14,6.1,3.2,1021.4,34,10.4,3,0.75,
2005/2/15,8.2,3.5,1019.7,32,13.1,2.8,2,
2005/2/16,4.5,6.6,1013.1,79,8.9,2.3,8,
2005/2/17,8.2,5.5,1011,52,13.6,3.8,3.5,
2005/2/18,6.2,4.5,1021.2,48,8.2,2.8,3,
2005/2/19,3.2,6.6,1011.8,85,6,1.1,11,
2005/2/20,7.7,6.6,1002.2,64,11,4.6,5,
2005/2/21,6,4.3,1010.5,47,9.4,2.7,2.75,
2005/2/22,6.9,3.3,1014.1,32,10.1,3.1,2,
2005/2/23,12.1,4.4,1004.6,33,19.4,4,1,
2005/2/24,7.1,4.9,1008.3,51,10.6,1.7,3,
