Date,temp,vap_pressure,atm_pressure,humidity,temp_max,temp_min,weather_num
2010/1/1,4.8,2.7,999.2,33,9.5,0.2,1
2010/1/2,6.3,3.3,1003.5,35,11.4,0.9,1
2010/1/3,5.7,3.7,1003.4,41,9.2,1.4,3.5
2010/1/4,6.5,4.1,1008.5,41,9.6,3.7,2.75
2010/1/5,7.3,4.8,998.7,49,13.2,3,2.75
2010/1/6,6.5,2.9,1001.6,30,10.4,3.7,2
2010/1/7,7.3,3.5,1001.4,35,12.1,1.5,0.75
2010/1/8,7.6,3.9,1008.2,39,11.3,4.6,2
2010/1/9,7.2,3.4,1012.6,34,11.1,4,1
2010/1/10,7,3.5,1014,36,11.7,2.8,1
2010/1/11,5.3,4.4,1014,49,6.4,4.3,0.5
2010/1/12,3.9,5.5,1003.6,68,5.1,3.1,3
2010/1/13,5.3,3.7,998.9,44,9.2,2.8,2.75
2010/1/14,3.8,2.4,1011.6,31,8,0.1,1
2010/1/15,4.6,3.1,1015,37,8.4,-0.3,1
2010/1/16,3.8,2.4,1019.9,31,6.9,1.9,1
2010/1/17,4.9,2.5,1022.3,29,9.2,1.4,1
2010/1/18,5.3,3.8,1022.6,43,8.8,1.8,2.75
2010/1/19,8.4,5.7,1024.2,51,13.8,1.7,1
2010/1/20,11.6,6.5,1015.8,47,17.3,4.5,0
2010/1/21,13,8.1,1000,51,18,6.6,3
2010/1/22,7,2.7,1009.6,27,10.5,3.8,0.75
2010/1/23,6.3,3.5,1009.1,37,10.1,2.6,2
2010/1/24,7,4.1,1014.6,42,10.8,2,1
2010/1/25,8.2,4.5,1008.4,42,14.7,2.5,2
2010/1/26,6.7,2.9,1016,30,10.5,4.3,1
2010/1/27,7.2,4.2,1018.2,41,12.7,1.5,0
2010/1/28,12.2,8,1004.3,54,15.5,5.4,2
2010/1/29,8.9,6.3,1008,55,11.6,6.5,0.75
2010/1/30,8.9,4.7,1013.8,43,13,4.5,2.75
2010/1/31,9.2,6.2,1014,53,12.4,5.2,2
2010/2/1,5.9,6.4,1007.3,69,9.4,0.6,0
2010/2/2,4.2,5.2,1006.3,64,7.5,1,3.5
2010/2/3,3.7,4.3,1008.4,55,6.9,0.1,2.75
2010/2/4,2.9,3.9,1011.3,53,6.6,-0.4,2
2010/2/5,4.9,3.4,1007.3,41,9.4,0.4,2
2010/2/6,3.2,2.7,1007.6,37,7.6,0.1,2
2010/2/7,4.9,2.8,1016.7,34,9.6,0.3,1
2010/2/8,6.3,4.1,1018.3,42,10,1.9,2
2010/2/9,11.8,8.1,1009.5,54,21,3.7,0
2010/2/10,8.5,7.8,1010.2,71,13.1,4.8,2
2010/2/11,4.5,6.4,1012,76,6,1.9,8.75
2010/2/12,3.5,5.1,1012.1,66,5.2,2,3
2010/2/13,2.2,5.1,1017.4,71,4,1.1,0
2010/2/14,4.6,4.7,1021.9,57,7.7,0.5,0
2010/2/15,5.3,6.2,1013.8,70,6.5,4.3,8.75
2010/2/16,3.9,5.2,1012.2,65,5.2,1.8,3
2010/2/17,3.1,4.4,1019.2,59,5,1.4,3
2010/2/18,3.5,5.2,1011.3,67,6.3,0.5,6.25
2010/2/19,5.7,5.4,1008.7,60,9.1,1.4,0.5
2010/2/20,7,4.1,1011.4,43,11.2,3,1
2010/2/21,6.1,3.9,1018.3,42,9.3,4,0.75
2010/2/22,6.5,5.7,1017.8,58,10.1,4.4,0.5
2010/2/23,9.7,7.1,1013.8,58,14.7,4.2,0
2010/2/24,12,8.6,1017.4,62,16.6,8,2.75
2010/2/25,13.9,10.5,1017.2,67,18.3,8.7,2
2010/2/26,16.9,13.9,1009.5,72,18.7,14.7,0
2010/2/27,10.9,10.7,1006.5,80,14.7,7.7,8.75
2010/2/28,6.4,7.3,1010.7,76,8.4,2.8,8
2010/3/1,9,8.6,1010.7,75,14.7,6.3,3
2010/3/2,5.3,6.5,1009.8,72,7.3,3.9,3
2010/3/3,8.4,6.9,1013.4,63,13.5,4,0.75
2010/3/4,7.6,6.3,1021.3,61,10.6,5.4,2
