Date,temp,vap_pressure,atm_pressure,humidity,temp_max,temp_min,weather_num
2005/1/1,4.9,4.2,1018.1,49,7,3.1,5.25
2005/1/2,4.6,5.3,1021.3,62,8.8,1.2,3
2005/1/3,9.3,7.9,1017.7,67,13.1,4,3
2005/1/4,8.1,5.9,1018.5,53,11.1,5.6,2.75
2005/1/5,6.2,5.1,1023.8,55,9.3,4.1,3.5
2005/1/6,6.9,7.5,1020,75,9.5,4.4,8.75
2005/1/7,8.5,6,1020.9,55,10.8,4.4,0
2005/1/8,6.2,4.1,1022.1,44,8.4,4.7,2.75
2005/1/9,4.2,4,1021.8,48,6.3,2.4,3
2005/1/10,4,4.4,1022.6,54,6,1.4,5
2005/1/11,6.6,4.7,1020.6,48,9,5.2,3
2005/1/12,5.4,4.3,1020.8,48,7.7,3.8,3
2005/1/13,4.5,5.3,1020.7,63,7,1.9,3
2005/1/14,6,5.3,1017.6,58,10.4,2.6,3.5
2005/1/15,5.8,5.6,1013.5,62,9.9,3.2,8
2005/1/16,5.5,6.1,1011.2,67,7.7,3.4,0
2005/1/17,7.4,5.7,1018.6,56,10.4,3.6,2.75
2005/1/18,6.7,6.1,1019.1,62,10.7,3.4,3.5
2005/1/19,6.8,5.9,1019.4,60,8.9,5.3,3.5
2005/1/20,5.2,4.1,1023.6,46,7,3.7,3
2005/1/21,3.9,4.1,1028.1,50,6.9,1.4,2.75
2005/1/22,5.4,5.1,1024.7,58,9.6,0.8,3
2005/1/23,6.4,7.7,1018.4,80,9.9,4.5,2
2005/1/24,7.6,8,1015.3,76,11.3,3.7,5
2005/1/25,7.7,8.7,1010.1,83,8.7,6.4,8.75
2005/1/26,7.6,7.1,1013.5,69,11.4,5.9,4
2005/1/27,7.3,6.3,1014,61,10.2,4.5,3
2005/1/28,9.1,7.3,1011.4,64,13.6,5.5,0.5
2005/1/29,9,7.6,1009.2,67,14.8,4.7,4
2005/1/30,6.8,4.3,1013.5,43,8.9,5.6,2.75
2005/1/31,3.9,4.6,1010.8,57,5.6,2.6,13
2005/2/1,1.1,3.3,1007.5,49,5.1,-0.8,13.75
2005/2/2,2.6,4.2,1014.8,57,4.3,0.8,13.75
2005/2/3,4.5,4.5,1020.2,54,7.2,2.2,5.25
2005/2/4,4.2,6.2,1019.1,74,8.5,1.1,0
2005/2/5,5.7,5.9,1019.4,66,10.5,0.9,2.75
2005/2/6,6.1,5.3,1023.5,57,8.9,3,3
2005/2/7,5.9,7.6,1020.8,82,7.1,4.5,8.75
2005/2/8,9.1,9.6,1020.8,84,11.9,6.8,3
2005/2/9,10.5,10,1020.2,79,13.6,7.8,3
2005/2/10,7,6.1,1022.3,61,9,4.1,0
2005/2/11,5.3,3.7,1027.5,42,7.8,2.7,2
2005/2/12,3.2,5,1026.4,65,6.6,0.7,3
2005/2/13,4.7,4.7,1026.8,57,9,1.5,3
2005/2/14,7.1,4.4,1026.2,45,11.5,1.6,3.5
2005/2/15,9.7,10.8,1015.8,89,12.1,6.8,8.75
2005/2/16,11.4,12.7,1009.8,94,13.1,10.3,8.75
2005/2/17,9.9,8.7,1017.9,71,10.6,8.5,3
2005/2/18,6.9,7.7,1016.1,78,8.5,5.9,8
2005/2/19,8.2,8.1,1013.9,75,12.1,5.5,5
2005/2/20,2.9,3.6,1020.3,48,6.5,1.5,3
2005/2/21,2.7,3.8,1023.5,52,4.7,1.3,13
2005/2/22,6,4.1,1019.8,47,12.5,-0.5,2
2005/2/23,10.6,6.7,1015.3,53,13.8,5.8,1
2005/2/24,6,7.2,1009.6,76,7.6,4.2,8.75
2005/2/25,7.4,6.4,1014.7,62,10.2,5.8,3.5
2005/2/26,3.6,3.7,1021.3,47,6.1,1.4,3
2005/2/27,3.9,4.3,1023.2,53,8.2,0,0.5
2005/2/28,5.6,5.1,1020.7,58,10.1,1.6,0
2005/3/1,6.6,4.3,1023.2,47,11.2,2.6,2
2005/3/2,7.5,5.1,1025.2,49,11.9,2.6,3.5
2005/3/3,8.2,7.8,1020.9,73,10.5,6,5
2005/3/4,5.7,5,1020,55,8.8,2.5,2.75
2005/3/5,4,4.7,1019.3,59,8.3,1.4,3
2005/3/6,4.1,5.9,1022.7,71,9.1,-0.2,0.5
2005/3/7,8.7,6.3,1023.9,58,14.2,2.8,2
2005/3/8,12.2,7.8,1022.1,57,18.9,5.5,2
2005/3/9,14.2,9.4,1019.8,60,18.8,9.3,3.5
2005/3/10,15.3,12.1,1012.8,70,19.3,11.7,3
2005/3/11,12.6,12.1,1007.5,81,16.4,6.7,5
2005/3/12,4.6,3.8,1015.2,44,6.7,3.5,3
2005/3/13,3.6,3.5,1016.7,44,5.8,1.4,3
2005/3/14,6.1,4.6,1019.5,48,10,3.8,3
2005/3/15,9.2,7.5,1021,63,13.9,4.8,3.5
2005/3/16,12.9,10.3,1020.7,70,18.7,7.7,2.75
2005/3/17,13.3,12.8,1010.6,83,17.8,10.5,8
2005/3/18,9.4,5.9,1017.8,50,11.9,5.4,2.75
2005/3/19,8.6,6.1,1023.4,55,13.7,4.4,2
2005/3/20,9.6,7.1,1019.9,60,14.2,6.8,3.5
2005/3/21,11.6,6.7,1018.5,51,18.7,4.8,2.75
2005/3/22,12.7,12.5,1006.1,85,16.7,10.4,8.75
2005/3/23,10.9,10.3,1009.6,80,13.8,8.7,8.5
2005/3/24,7.4,6.1,1011.1,59,10.7,4.1,2
2005/3/25,7.7,4.6,1018.3,44,10.9,4.7,2
2005/3/26,12.3,7.9,1021.4,56,16.7,7.2,0.5
2005/3/27,11.5,10.7,1015.9,79,13.3,10.3,8
2005/3/28,13.6,12.7,1007.2,82,15.7,12.3,3.5
2005/3/29,11.5,7,1009.9,52,14.8,8.1,2.75
2005/3/30,10.9,6.2,1012.2,49,15.2,6.4,1
2005/3/31,12.4,7.5,1015.3,53,17.6,7.4,1
2005/4/1,13.5,8.6,1017.8,55,19.2,7.8,2
2005/4/2,14.9,10.7,1014.5,63,21.1,11.8,5
2005/4/3,12,10.3,1011.7,73,15.5,8.7,8
2005/4/4,11.5,5.7,1018.7,43,15.6,8.4,2
2005/4/5,14.9,8,1019.1,49,22.4,7.7,1
2005/4/6,16.6,12.2,1015,65,19.2,12.4,3
2005/4/7,20,16.8,1010.8,73,25.3,15.6,2.75
2005/4/8,17.4,16.5,1014.8,83,22.1,14.7,0
2005/4/9,19.1,16.6,1014.9,76,25,14.6,2.75
2005/4/10,19.2,16.2,1009.2,74,24,13,5
2005/4/11,13.4,10.8,1011.5,71,16.8,12,3.5
2005/4/12,12.4,10,1011.3,70,15.7,10.7,3
2005/4/13,13.6,9.1,1012.8,59,18.1,9.7,1
2005/4/14,14.3,8.7,1017.4,55,20.7,8.7,2
2005/4/15,14.6,9.8,1019.2,59,19.4,9.4,0
2005/4/16,14.7,8.9,1020,55,19.7,9.2,1
2005/4/17,15.8,7.4,1021.5,44,21.6,9.4,0.5
2005/4/18,18.1,7.8,1022.4,38,24.8,14.1,0.5
2005/4/19,19.3,10,1019.7,44,25.1,12.8,2
2005/4/20,17,9.2,1009.9,48,21.4,13.5,5
2005/4/21,16.2,8.7,1008.4,47,22.4,12.3,2.75
2005/4/22,16.2,4.8,1014.6,27,20,12.6,2
