Date,temp,vap_pressure,atm_pressure,humidity,temp_max,temp_min,weather_num
1995/1/1,-1.1,3.4,944.3,61,4.3,-5.6,2
1995/1/2,-2.5,3.4,953.3,68,4.4,-7.4,1
1995/1/3,2.6,4.3,948.5,61,10.7,-7.9,0
1995/1/4,5.3,8.4,934,95,8.4,3.5,8
1995/1/5,2.9,4.8,931.9,64,7,-0.4,5
1995/1/6,-1.5,3.8,936.2,69,1.1,-5.8,6.25
1995/1/7,0.2,4.1,941.4,69,9.2,-8.3,2.75
1995/1/8,0.3,3.6,947.6,61,7.8,-4.9,1
1995/1/9,5.8,5.3,938.5,59,11.2,-2.2,2
1995/1/10,1.9,3.9,936.7,56,5.3,-1.5,5.25
1995/1/11,0.8,3.9,939.3,60,4.6,-1.3,2.75
1995/1/12,1.3,3.7,937.4,56,7,-3.4,2
1995/1/13,-0.4,3.9,933.8,65,3.6,-2.9,3.25
1995/1/14,-3.6,3.3,936.8,70,-0.5,-7.2,0
1995/1/15,-3.5,3.2,941.6,67,0.9,-6.7,6.25
1995/1/16,-4.6,2.7,945.4,65,2.2,-9.6,2
1995/1/17,-3.9,2.7,946.7,61,4,-9.1,2
1995/1/18,-2.5,3.3,943.2,66,5.1,-10.1,0
1995/1/19,-1.9,3.6,942.7,68,1.9,-6.7,2
1995/1/20,-2.5,3.2,944.7,65,5.5,-7.5,2
1995/1/21,-1.2,3.9,948.4,71,7.8,-8.1,0
1995/1/22,-2.1,4.9,942.4,93,0.5,-5.4,14
1995/1/23,1.7,6.6,937.8,95,4.5,0.2,0
1995/1/24,0.5,5.2,941.2,83,4,-3.2,0
1995/1/25,-2.8,3.3,947.5,68,2.8,-7.2,2
1995/1/26,-2,3.7,944.7,72,5.7,-8.8,3.25
1995/1/27,-2.2,3.7,946.7,72,3.2,-6.1,2
1995/1/28,-0.1,3.2,946.2,55,5.8,-6.6,0
1995/1/29,0.6,3.2,942,50,6.2,-3.1,2
1995/1/30,-2.5,3.1,941.8,62,2.5,-5,3.25
1995/1/31,-3,2.6,943.1,55,0.5,-6.1,3.25
1995/2/1,-2,3.2,947.1,64,4.2,-5.8,2
1995/2/2,-2.8,3.3,951.2,67,5.4,-9.1,2
1995/2/3,-2.5,3.3,951.5,66,5.2,-8.2,1
1995/2/4,-1.8,2.9,949.7,57,2.8,-6.8,0
1995/2/5,-1.2,4,940,72,3.1,-3.6,3.25
1995/2/6,-1.5,3.6,940.4,67,5.4,-6.7,3.25
1995/2/7,-1.1,3.8,942.6,67,5.7,-4.8,0
1995/2/8,-0.1,3.7,944,64,10.1,-7.7,0
1995/2/9,3,4.2,939.6,58,10.7,-3.5,0
1995/2/10,-0.8,3.3,947,59,3.5,-5.5,5.25
1995/2/11,-1.2,3.4,952.7,63,8.3,-8.5,1
1995/2/12,2.2,4.2,946.4,64,11,-6,0
1995/2/13,2,6.4,937.6,90,5.7,-0.4,6
1995/2/14,0.9,5.1,938.7,78,5.3,-3.8,3
1995/2/15,-0.3,4,939.1,70,8.3,-6.5,0.75
1995/2/16,0.5,3.7,938.5,58,4.7,-4.1,3.5
1995/2/17,-1.8,2.6,944,51,4.5,-6.1,2
1995/2/18,-1.8,3.2,947.3,61,6.3,-8.4,0
1995/2/19,0,3.7,944.8,63,7.7,-5.8,2
