Date,temp,vap_pressure,atm_pressure,humidity,temp_max,temp_min,
2010/1/1,-1.3,3.1,932.1,56,2,-3.4,
2010/1/2,0.4,3.5,936.1,57,5.3,-4.9,
2010/1/3,0.3,4.6,936.5,73,3,-3.2,
2010/1/4,-0.5,3.9,939.5,65,4.8,-5.4,
2010/1/5,3.1,4.8,932.2,63,7.6,-1.2,
2010/1/6,-0.8,3.7,935.2,65,2.2,-3.9,
2010/1/7,0.5,3.1,935.5,51,7,-4.1,
2010/1/8,-0.4,3.5,941.2,61,6.6,-4.2,
2010/1/9,-1,3.3,944.7,60,6.1,-6.6,
2010/1/10,-0.6,4.1,946.8,70,5.1,-3.7,
2010/1/11,-0.4,3.8,944.6,65,5.1,-4,
2010/1/12,1.2,5,934.9,76,5.1,-2.2,
2010/1/13,-1.6,2.9,932.3,54,1.3,-4,
2010/1/14,-2.8,3,942.8,60,1.6,-5.5,
2010/1/15,-2.2,3.7,946.3,71,1.6,-6.8,
2010/1/16,-3.1,3.1,951.2,65,1.2,-7.3,
2010/1/17,-3.9,2.9,954,65,3.7,-9.9,
2010/1/18,-1.4,3.2,953.3,59,5,-7.4,
2010/1/19,0.3,4,956.7,65,8.9,-6.2,
2010/1/20,6.9,4.8,948.1,51,15.4,-4.7,
2010/1/21,5.1,6.7,936.6,73,11.8,-2.4,
2010/1/22,0.2,3.6,941.5,59,4.9,-5.5,
2010/1/23,0.8,4.1,941.1,65,5.7,-2.4,
2010/1/24,0,3.7,946,64,7.1,-5.2,
2010/1/25,2.1,4.1,941.2,60,8.3,-5.3,
2010/1/26,-0.5,3.2,948.7,56,4.9,-4.6,
2010/1/27,1.4,2,948.9,39,10.8,-8.2,
2010/1/28,6.2,6.6,938.6,70,11.9,1.1,
2010/1/29,2.4,4.3,940.9,61,8.2,-1.3,
2010/1/30,2.7,3.5,945.7,49,9.9,-4.2,
2010/1/31,3,4.4,945.7,60,11.1,-3.7,
2010/2/1,1.2,4.9,939.6,75,5.9,-1.8,
2010/2/2,0.9,4.2,937.2,65,5.9,-4.6,
2010/2/3,-1.7,3.5,940,66,3.4,-4.9,
2010/2/4,-2.1,3,941.7,60,3.5,-6.6,
2010/2/5,-0.1,2.7,938.9,46,4.5,-3.4,
2010/2/6,-3.6,3.1,940,67,-1.6,-5,
2010/2/7,-2,3.2,950,62,4.5,-6.5,
2010/2/8,1.7,4.5,948.5,62,9.4,-7.1,
2010/2/9,10.8,8,943.6,63,16.5,5.9,
2010/2/10,4.3,6.8,941.5,82,7.7,0.7,
2010/2/11,0.4,5.3,942.4,84,1.4,-0.7,
2010/2/12,-0.7,4.5,943.4,77,1.7,-2,
2010/2/13,-1.4,4.1,947.1,75,0.9,-2.8,
2010/2/14,-0.6,4.2,951.4,71,2.7,-4,
2010/2/15,0.5,5.4,945.9,86,1.5,-0.8,
2010/2/16,0,4.2,943,70,2.3,-2.4,
2010/2/17,-2.1,3.5,948.5,67,0.7,-4.9,
2010/2/18,0.3,4.2,941.2,68,7.5,-3,
2010/2/19,-0.3,3.7,940.4,63,6,-5.4,
2010/2/20,0.7,3.3,943.5,54,7.5,-4.4,
2010/2/21,1,3.7,949.1,57,6.5,-2.2,
2010/2/22,4.8,4.4,947,54,12.8,-5,
2010/2/23,7.4,5.3,945.6,55,16.5,0,
2010/2/24,7,5.1,948.8,57,18.4,-1.6,
2010/2/25,10.1,6.4,949.2,55,19.2,-0.2,
2010/2/26,12.8,10.2,942.2,70,15.4,9.3,
2010/2/27,7.9,8.6,940.4,80,10,5,
2010/2/28,4.4,6.7,942.9,80,6.5,1.6,
2010/3/1,7.9,7.6,941.8,72,15.6,2.5,
2010/3/2,6.1,7.4,939.4,79,11.5,3.4,
2010/3/3,5,5.7,945.5,67,11.1,0.2,
2010/3/4,3.1,6.2,949.1,81,5.8,0.2,
2010/3/5,9,8.8,942.4,77,19.3,3.1,
2010/3/6,6.6,8.2,944.5,83,8.5,4.2,
2010/3/7,1,5.8,948.4,88,4.2,-0.4,
2010/3/8,0.6,4.7,953.4,74,3.5,-0.6,
2010/3/9,-0.7,5.1,946.6,87,0,-1.2,
2010/3/10,1.5,5.2,929.3,77,6.4,-1.3,
2010/3/11,1.5,4.4,946.3,67,6.7,-1.7,
2010/3/12,4.6,4.6,951.7,58,11.5,-4,
2010/3/13,8.3,7.1,948.3,66,14.8,0.2,
2010/3/14,4.3,4.8,955.1,60,11.6,-0.1,
2010/3/15,8.7,7.1,947.4,64,15.3,-1,
2010/3/16,8.9,8.7,935.2,73,12.4,3.3,
2010/3/17,3.3,3.7,945.6,50,10.2,-1.7,
2010/3/18,2.9,5.2,942.9,71,9.5,-1,
2010/3/19,6.4,5,940.3,56,13.8,0.9,
2010/3/20,15.8,7.2,936.4,41,22.9,5.4,
2010/3/21,7.7,6.3,929.8,57,15.2,0.3,
2010/3/22,3.3,4,943.6,53,9.3,-2,
2010/3/23,6.7,6.2,942.4,64,12.5,1,
2010/3/24,3.4,6.4,945.3,82,5.7,0.7,
2010/3/25,1.9,6.2,935.9,87,3.5,0.9,
2010/3/26,1.5,5,941.7,74,5.3,-0.8,
2010/3/27,3.2,3.9,949.3,54,10.4,-2.3,
2010/3/28,3.1,5.2,947.3,70,10.5,-1,
2010/3/29,-0.2,4,946.2,67,3.2,-4.1,
2010/3/30,-0.1,3.3,955.1,56,6.7,-6.3,
2010/3/31,5.7,4.6,952,53,12.3,-2.9,
2010/4/1,12.9,9.9,942.8,66,15.9,8.7,
2010/4/2,9,8.4,936.8,71,15,4.4,
2010/4/3,4.9,3.6,946.9,44,11.8,-0.8,
2010/4/4,8.1,5.7,950.8,56,17.9,-2.1,
2010/4/5,9.4,8.2,945.1,70,16.2,4.1,
2010/4/6,12.8,7,941.5,53,22.2,3.3,
2010/4/7,5.4,6.6,943.5,73,14,1,
2010/4/8,5.4,4.5,950.3,53,13.3,-1.4,
2010/4/9,9,5.4,952.1,51,17.2,0.7,
2010/4/10,13.9,7.7,945.9,51,22.7,4.8,
2010/4/11,12.3,10.2,945.7,72,18.8,8.3,
2010/4/12,7.4,9.1,944.4,88,9,4.9,
2010/4/13,12.5,9.4,936.1,67,24.3,4.2,
2010/4/14,7,4.2,942.3,44,14,2.5,
2010/4/15,2.9,5,948.8,67,6.3,0.5,
2010/4/16,2.8,5.4,949.9,73,7,0.1,
2010/4/17,4.8,6.3,948.6,74,12,0.1,
2010/4/18,7.5,5.5,953.5,58,14.9,0.7,
2010/4/19,12.3,6,951.8,47,21.7,4.3,
2010/4/20,12.5,9.3,945.4,64,15.2,10.5,
2010/4/21,11.9,8.8,944.2,64,17.9,7.3,
2010/4/22,6.1,7.7,940.6,82,7.7,4.5,
2010/4/23,6.1,7.6,937.6,80,8,3.7,
2010/4/24,5.8,4.3,945.5,50,11.4,1.2,
2010/4/25,7.5,4.2,951.8,44,17.3,-1.1,
2010/4/26,10.9,4.6,953.4,40,19.2,1.1,
2010/4/27,8.8,7.8,949.9,70,13.8,6.2,
2010/4/28,11.2,10.2,942.6,77,18.5,6.2,
2010/4/29,12.6,7.3,939.1,51,17.6,6.8,
2010/4/30,9.8,5.3,941.1,48,15.4,3,
2010/5/1,11.5,4.9,943.2,39,19.5,4.6,
2010/5/2,13,5.9,946.4,44,22,3.7,
2010/5/3,16.7,6.3,947.4,38,26.3,6.6,
2010/5/4,20.8,9.2,944.2,39,30.3,12.4,
2010/5/5,21.6,11.6,943.7,49,31.5,13,
2010/5/6,22.7,10,941.4,39,30.1,17.1,
2010/5/7,16,12.7,935.3,70,18.5,10.2,
2010/5/8,15.8,7.4,936.9,47,24.1,8.3,
2010/5/9,14.4,6.9,941.8,45,23.1,7.7,
2010/5/10,13.2,8.7,943,60,21.7,6.7,
2010/5/11,12.1,11.7,938.7,83,14.1,10.7,
2010/5/12,11.3,8.5,935.9,65,16.2,5.3,
2010/5/13,8.7,6.8,940.2,63,14.6,4.3,
2010/5/14,8.7,6.7,944.1,61,15.1,4.7,
2010/5/15,11.8,6.6,947.6,52,20.8,2.5,
2010/5/16,16.1,8.4,947.9,49,24.3,9,
2010/5/17,17.8,8.9,949.6,49,27.9,8.6,
2010/5/18,19.3,9.3,946.8,46,28.1,11.4,
2010/5/19,17.6,13.3,943.2,66,19.1,14.7,
2010/5/20,20.5,16.2,939.9,67,26,17,
2010/5/21,20.3,10,941.4,47,29.1,12,
2010/5/22,18.9,11.2,943.5,52,25.3,12,
2010/5/23,14,12.4,943.1,79,18.6,11.9,
2010/5/24,15.6,15,932.8,85,20.1,11.7,
2010/5/25,19.3,12.5,930.6,58,24.8,13.9,
2010/5/26,14.6,13.1,930.9,79,19.2,11.9,
2010/5/27,13,10.6,937.1,72,17.5,9.6,
2010/5/28,11.8,8.8,941.8,65,18.5,8.3,
2010/5/29,13.4,10,939.8,66,21.1,8.1,
2010/5/30,14.5,11,940,69,19.9,11.5,
2010/5/31,15.7,10.4,942.2,61,21.3,11.2,
2010/6/1,17.4,10.3,944.7,54,23.9,12.9,
2010/6/2,17.9,10.4,947.4,54,26.3,11.1,
2010/6/3,17.2,11.4,948.4,61,26.3,11.4,
2010/6/4,17.4,11.1,944.7,59,26.4,10.2,
2010/6/5,18.2,11.2,941.7,57,26.6,12.9,
2010/6/6,19.1,10.1,944.2,51,28.7,10.6,
2010/6/7,20.1,10.7,946.7,49,27.1,12.5,
2010/6/8,17.8,11.4,946.5,57,22.9,14.7,
2010/6/9,18.4,12.9,944.9,64,26.2,13.2,
2010/6/10,20.6,13.3,944.2,58,29.2,12.6,
2010/6/11,22.2,15.1,944.3,59,30.6,14.6,
2010/6/12,24.1,14.7,943.9,53,31.6,16.4,
2010/6/13,22.4,14.7,944.4,56,27.8,18,
2010/6/14,17.1,15.8,943.1,81,19.3,14.8,
2010/6/15,21.5,18,938.6,73,30.6,15,
2010/6/16,21.6,19.8,934.8,77,26.3,18.1,
2010/6/17,23.2,16.3,939.4,61,32.7,16.2,
2010/6/18,19.7,17.8,939.3,78,23.9,17.3,
2010/6/19,22.7,19.6,936.4,73,29.9,17.1,
2010/6/20,23.3,19,937.1,68,28.5,18.6,
2010/6/21,23.7,17.9,936.3,62,29.3,19.8,
2010/6/22,24.1,18.6,939,64,30.9,18.3,
2010/6/23,20.1,18.4,937.4,79,24,17.5,
2010/6/24,20.2,14.3,941,63,26.9,15,
2010/6/25,22.2,14.1,946.1,56,30.3,14.9,
2010/6/26,21.8,19.5,947.2,74,24,19.4,
2010/6/27,24.9,22.5,942.6,72,29.6,21.9,
2010/6/28,25.3,22.9,939.8,72,30.5,21.7,
2010/6/29,23.8,23.4,938.5,80,30.8,21,
2010/6/30,23.9,21.4,937.7,73,29.7,20.7,
2010/7/1,23.3,20.4,937.9,73,32,19.7,
2010/7/2,22.9,20.7,937.2,76,29.7,18.5,
2010/7/3,22.1,21.5,933.6,82,25.3,19.7,
2010/7/4,22.7,22.4,928.8,82,26.7,20.1,
2010/7/5,24.3,22,929.6,73,30.2,20.9,
2010/7/6,24.6,21.6,932,71,31.2,21,
2010/7/7,24.4,19.6,937.3,66,30.8,20.3,
2010/7/8,24,18.3,941.2,63,30.9,17.2,
2010/7/9,21.7,19.4,940.1,76,27.6,18.7,
2010/7/10,23.4,18.9,941.3,68,31.5,17.1,
2010/7/11,21.9,20.2,941.6,77,25.3,18.9,
2010/7/12,23,21.6,939.5,77,27.4,19.8,
2010/7/13,20,20.2,944.1,86,23.4,18.4,
2010/7/14,23.6,21,943.2,73,26.3,20.5,
2010/7/15,23,22,945.6,79,28.1,19.9,
2010/7/16,24.9,22,948.9,71,30.8,19.9,
2010/7/17,25.9,21.8,951.3,68,33.2,20.6,
2010/7/18,26.7,20.1,950.5,60,33.7,20,
2010/7/19,27.2,20.8,949,59,33.6,21.2,
2010/7/20,27.5,23.1,948.9,64,33.9,22.7,
2010/7/21,27.8,22.8,948.2,63,34.5,21.8,
2010/7/22,27.8,23.6,946.5,65,34.3,23.3,
2010/7/23,27.5,23,945,65,34.8,21.9,
2010/7/24,27.2,21.9,944.9,63,35.2,21.5,
2010/7/25,26.9,21.6,945.8,62,33.8,23,
2010/7/26,26.5,21.6,946.2,64,34.3,21.8,
2010/7/27,27.8,20,945.2,57,35.8,20.8,
2010/7/28,27.2,19.1,943.1,55,33.8,22.6,
2010/7/29,23.5,21.1,937.7,73,25.8,21.4,
2010/7/30,25.9,23,937.2,71,32.1,21.3,
2010/7/31,27.5,22.8,939.4,63,34.4,22.8,
2010/8/1,27,23.7,940.1,68,33.6,22.3,
2010/8/2,26.8,24.6,939.3,71,34.6,23.2,
