Date,temp,vap_pressure,atm_pressure,humidity,temp_max,temp_min,weather_num
2010/1/1,15.1,8.7,1014.1,51,17,13.1,2.75
2010/1/2,17,13.3,1010.5,67,19.7,12.6,5
2010/1/3,16.4,14.5,1009.6,77,19.3,14.6,5
2010/1/4,16.4,12.2,1010.6,66,20.9,11.3,1
2010/1/5,15.6,13,1012.4,73,17.7,13.5,5
2010/1/6,14.1,12,1014,74,15.6,12.9,8.75
2010/1/7,15.6,10.2,1015.6,57,17.1,13.2,3
2010/1/8,14.6,11.4,1014.8,69,16.5,12.1,8.75
2010/1/9,16.1,12.3,1015.7,68,20.3,11.6,2
2010/1/10,17.4,13.4,1014.6,68,20.6,15.3,2
2010/1/11,19.2,16.7,1009.4,75,22.5,15.4,3.5
2010/1/12,15.4,12.6,1009.9,71,18.8,13.5,0.75
2010/1/13,12.5,7.4,1018.8,51,13.9,11.1,5
2010/1/14,12.4,7.7,1022.5,54,14.3,10.6,0.5
2010/1/15,13.3,9,1022.5,60,17.2,9.1,2
2010/1/16,15.1,10.3,1021.5,61,19.3,10.5,0.75
2010/1/17,16.6,11.5,1021.6,61,20,13.2,2.75
2010/1/18,17.4,12.4,1021.1,63,21.4,14.3,2
2010/1/19,19.3,13.2,1020.8,59,22.2,15.6,2.75
2010/1/20,21.1,16.6,1017.9,66,24,19.1,2.75
2010/1/21,20.7,20.5,1014.1,84,23.9,17,5
2010/1/22,17.2,14.1,1016.9,72,18.1,16.3,3
2010/1/23,15.8,11,1018.1,62,16.4,14.7,3
2010/1/24,16.4,11.2,1017.6,60,19.7,14.5,3.5
2010/1/25,17.6,15.9,1015,78,20.8,14.2,8
2010/1/26,16.2,10.4,1019.6,57,18.5,14.8,2.75
2010/1/27,18.4,13.7,1016.6,64,22.1,13.5,2
2010/1/28,19.1,18.3,1012.5,82,24.1,16.1,0.75
2010/1/29,18,14.6,1015.2,72,21.2,15.4,3.5
2010/1/30,19.7,16.3,1014.7,71,22,17.4,3
2010/1/31,21.1,21.9,1011.8,88,24.4,19.5,5
2010/2/1,20.6,19.9,1008.9,81,24.5,17.3,5
2010/2/2,17.5,12.3,1011.5,62,19.7,16,3
2010/2/3,16.2,14.4,1012.3,78,18.1,15,8.75
2010/2/4,16,15.2,1012.4,84,17.8,14.4,8.75
2010/2/5,15.3,15.1,1012.9,87,16.8,14,5
2010/2/6,15.8,14.9,1014.2,83,16.9,14.4,5
2010/2/7,18,18.3,1012,89,20.5,15.6,8.75
2010/2/8,20.7,21.3,1011.9,87,24.2,18.2,2.75
2010/2/9,21.4,22.1,1012.1,87,25,18.3,3.5
2010/2/10,22.8,24.7,1011.1,89,25,21.4,3
2010/2/11,23.1,24.7,1010.7,87,26.1,18.3,3.5
2010/2/12,16.6,14.9,1013.8,79,18.4,15.3,5
2010/2/13,15.7,11.4,1016.3,64,16.3,14.7,3
2010/2/14,19.2,17.3,1011.5,77,21.4,15.2,5
2010/2/15,19.5,18.4,1009,81,21.5,17.3,5
2010/2/16,15.2,14.2,1014.1,82,17.5,13.4,8.75
2010/2/17,13.9,12.4,1014.2,78,16.2,12.6,5
2010/2/18,13.4,10.6,1015.1,69,14.8,12,5
2010/2/19,13.6,8.9,1014.9,57,14.5,12.8,5
2010/2/20,14.8,10.4,1014.3,62,19,12,3.5
2010/2/21,17.1,12.1,1013.7,63,21.6,12.2,2
2010/2/22,18.7,15.4,1011.1,72,21.5,15.9,5
2010/2/23,19.4,16.3,1008.2,73,23.1,15.7,2
2010/2/24,19.9,17.3,1009.8,75,24.2,14.9,2
2010/2/25,22.4,20.8,1009.4,77,25.6,19.9,2
2010/2/26,22.7,22.6,1006.5,82,25.3,20.6,3.5
2010/2/27,22.1,23.1,1006.4,87,25.4,20.6,5
2010/2/28,20.5,17.2,1011.9,71,22.7,18.9,3.5
2010/3/1,22.5,21.9,1009.9,81,26,19.3,2.75
2010/3/2,22.8,23.8,1007.3,86,25.8,20.1,5
2010/3/3,21.3,18.4,1009.9,73,25,18.9,0.5
2010/3/4,23.3,23.5,1008.9,82,26.3,20.7,2
2010/3/5,24.2,25.2,1009.6,84,27.3,22.9,3.5
2010/3/6,24.5,25.7,1010.4,84,27.3,23.1,2.75
2010/3/7,20.8,20.5,1010.3,82,23.8,19.1,5
2010/3/8,19.2,18.1,1011.8,81,19.9,18.3,5
