Date,temp,Year
1月1日,6.5,1990
1月2日,7.6,1990
1月3日,4.9,1990
1月4日,4.5,1990
1月5日,5.7,1990
1月6日,6.8,1990
1月7日,5.2,1990
1月8日,6.6,1990
1月9日,8,1990
1月10日,11.6,1990
1月11日,8.4,1990
1月12日,8.5,1990
1月13日,6.5,1990
1月14日,5,1990
1月15日,6.6,1990
1月16日,5.8,1990
1月17日,6.9,1990
1月18日,9.1,1990
1月19日,8.7,1990
1月20日,4.6,1990
1月21日,4.2,1990
1月22日,5.3,1990
1月23日,4.2,1990
1月24日,0.9,1990
1月25日,1.4,1990
1月26日,1.9,1990
1月27日,2.8,1990
1月28日,4.1,1990
1月29日,6.5,1990
1月30日,6.5,1990
1月31日,2.1,1990
2月1日,3,1990
2月2日,4.9,1990
2月3日,4.5,1990
2月4日,5.8,1990
2月5日,6.9,1990
2月6日,6,1990
2月7日,8.9,1990
2月8日,6.8,1990
2月9日,7.3,1990
2月10日,8.6,1990
2月11日,11.9,1990
2月12日,8.8,1990
2月13日,7.2,1990
2月14日,6.4,1990
2月15日,8.5,1990
2月16日,8.1,1990
2月17日,8.7,1990
2月18日,10.5,1990
2月19日,13.1,1990
2月20日,13.2,1990
2月21日,11.8,1990
2月22日,12.9,1990
2月23日,13,1990
2月24日,11.9,1990
2月25日,9.9,1990
2月26日,9.3,1990
2月27日,7.7,1990
2月28日,7.6,1990
3月1日,9.5,1990
3月2日,9.9,1990
3月3日,9.4,1990
3月4日,8.5,1990
3月5日,7.8,1990
3月6日,8.9,1990
3月7日,8.1,1990
3月8日,5.3,1990
3月9日,7.7,1990
3月10日,10.1,1990
3月11日,12.7,1990
3月12日,10.9,1990
3月13日,8.1,1990
3月14日,9.5,1990
3月15日,12.1,1990
3月16日,10.8,1990
3月17日,10.1,1990
3月18日,9.4,1990
3月19日,10.1,1990
3月20日,12.6,1990
3月21日,10.9,1990
3月22日,12,1990
3月23日,15.9,1990
3月24日,14.9,1990
3月25日,8.4,1990
3月26日,8.9,1990
3月27日,10.9,1990
