Date,temp,vap_pressure,atm_pressure,humidity,temp_max,temp_min,weather_num
1990/1/1,-3.6,4,1008.5,84,-0.2,-7.8,3.25
1990/1/2,-2.6,4.5,1012.6,86,0.6,-5.2,0
1990/1/3,-4.8,3.2,1008.9,75,1.1,-10.7,2
1990/1/4,-2.6,3.8,1007.9,74,-0.6,-6.3,14
1990/1/5,-3.4,2.9,1013,61,0.7,-7.1,5.25
1990/1/6,-1.6,4.4,1007.7,82,-0.3,-6.4,13
1990/1/7,-1,4.3,1014.5,79,0.8,-2.5,13.5
1990/1/8,-0.4,3.8,1022.7,62,4,-5,1
1990/1/9,1.8,5.2,1018.4,74,6.9,-4.6,4
1990/1/10,1.5,5.6,1010.4,80,4.5,-1.3,3.25
1990/1/11,-4.9,3.1,1014.8,69,-1.3,-9.4,6.25
1990/1/12,-2,4.2,1011.7,82,1.4,-9.3,0
1990/1/13,-5.7,2.4,1005.7,57,-2,-7.6,13.5
1990/1/14,-6.2,2.4,1010.4,61,-4.5,-9,6.25
1990/1/15,-7.6,2,1011.7,57,-6.3,-10,13.5
1990/1/16,-6.7,2.5,1013.5,67,-4.2,-10.9,3.25
1990/1/17,-5.3,2.4,1013.5,55,-2,-9.1,3.25
1990/1/18,-2.7,3.7,1009.2,71,3,-9.1,0
1990/1/19,-1.8,3.5,1009.9,63,1.5,-6.1,3.25
1990/1/20,-7.3,2.2,1016.2,63,-5.2,-9.5,0
1990/1/21,-7.5,2.4,1020.4,67,-4.1,-10.5,0
1990/1/22,-7.6,2.8,1013,73,-3.8,-12.7,13
1990/1/23,-8.3,2.3,1010.3,66,-5.1,-12.9,0
1990/1/24,-8.3,2.2,1006.4,66,-3,-15.6,3.25
1990/1/25,-7.3,1.8,1008.7,50,-5.3,-9.7,3
1990/1/26,-8.9,2.3,1017.2,70,-5.8,-13.3,13.75
1990/1/27,-9.7,1.9,1020.9,65,-5.6,-15,3.25
1990/1/28,-8.4,2.2,1026.9,67,-3.6,-13.7,3
1990/1/29,-4.1,3.3,1019.5,73,-1.3,-6.5,0
1990/1/30,-8.3,2.7,1017.6,78,-5.2,-9.7,13
1990/1/31,-7.7,2.3,1021.1,67,-2.7,-11.1,5.25
1990/2/1,-6.6,2.3,1022.5,66,-3.3,-9.8,2.75
1990/2/2,-3.6,3,1025.6,66,-0.8,-9.8,0
1990/2/3,0.1,4.5,1018,71,3.5,-2.2,3
1990/2/4,-3.4,3.5,1024.2,71,-0.5,-6.9,5.25
1990/2/5,-3.9,3.2,1029.3,70,0.7,-9.7,2
1990/2/6,-0.5,4.4,1029.2,73,2.3,-5.4,2
1990/2/7,-0.9,3.9,1022.8,66,2.5,-4.1,3
1990/2/8,-2.3,3.7,1022.8,70,-0.6,-3.9,0
1990/2/9,-2.6,3.8,1027.5,77,-0.1,-4.9,5.25
1990/2/10,0.9,4.6,1025.6,72,3.7,-5.5,2
1990/2/11,3.7,6.6,1003.8,84,5.8,1.9,0
1990/2/12,-1.7,4.4,1002.1,80,4.3,-3.3,13
1990/2/13,-3.3,3.1,1012.1,65,-1.2,-5.2,6.25
1990/2/14,-2.8,3.4,1024.3,67,0.1,-5.5,13.5
1990/2/15,-2.9,3.1,1024.8,64,1.9,-7.9,1
1990/2/16,-0.5,4.1,1021.1,69,2.9,-4.5,0
1990/2/17,-0.7,5,1022,85,1.1,-2.8,13
1990/2/18,-0.8,4.2,1030.3,71,2.4,-2.5,5.25
1990/2/19,-1.5,4.1,1031.8,75,1.1,-7.5,0
1990/2/20,3.4,6.4,1017.1,82,5.9,0.7,11.25
1990/2/21,3.2,7,1015,91,5.8,1.8,8
1990/2/22,3,6.5,1023.2,85,4.5,0.9,0
1990/2/23,3.9,6.2,1020.2,79,8.3,-0.6,0
1990/2/24,2.7,6.8,1012.9,90,3.9,1.2,11
1990/2/25,1.3,5.6,1013.1,83,2.4,-0.1,3
1990/2/26,-1.2,4.9,1017.1,86,0.9,-4.4,13
1990/2/27,-1.7,4,1021.5,74,1.9,-4.6,5.25
1990/2/28,-0.6,3.2,1026.7,54,1.7,-3.2,5.25
1990/3/1,1.1,3.6,1024.2,53,5.1,-1.5,3.25
1990/3/2,0.3,3.3,1023.2,53,3.9,-3.6,1
