Year,Seasons,Temp_ave,Temp_min,Humidity,Pressure,City
Y1990,Winter,9.2,5.7,67,1020.3,Fukuoka
Y1990,Spring,19.4,15.5,69,1010.6,Fukuoka
Y1990,Summer,27.8,24.5,72,1007.4,Fukuoka
Y1990,Autumn,14.2,10.6,69,1018.4,Fukuoka
Y1990,Winter,-0.9,-4.6,68,1015.6,Sapporo
Y1990,Spring,13,9,67,1008.2,Sapporo
Y1990,Summer,20.9,17.3,75,1008.5,Sapporo
Y1990,Autumn,7.5,3.4,69,1013.3,Sapporo
Y1990,Winter,7.8,4.6,55,1014.9,Tokyo
Y1990,Spring,19.1,15.8,62,1007.9,Tokyo
Y1990,Summer,26.4,23.5,70,1006.6,Tokyo
Y1990,Autumn,14.8,11.2,60,1012.8,Tokyo
Y1995,Winter,8,4.8,63,1018.4,Fukuoka
Y1995,Spring,18.2,14.6,70,1010,Fukuoka
Y1995,Summer,26.7,23.5,73,1009.8,Fukuoka
Y1995,Autumn,13,9.3,64,1018.5,Fukuoka
Y1995,Winter,-1.6,-5,69,1011.8,Sapporo
Y1995,Spring,12.1,8.6,69,1008.5,Sapporo
Y1995,Summer,20.1,16.5,74,1006.8,Sapporo
Y1995,Autumn,6.2,2.7,70,1009.1,Sapporo
Y1995,Winter,7.2,3.6,52,1011,Tokyo
Y1995,Spring,18.2,15.1,67,1007.3,Tokyo
Y1995,Summer,26.5,23.5,69,1006.2,Tokyo
Y1995,Autumn,13.3,9.7,51,1011.1,Tokyo
Y2000,Winter,8.1,4.8,60,1018.2,Fukuoka
Y2000,Spring,19.2,15.6,66,1009.1,Fukuoka
Y2000,Summer,27.1,23.9,69,1007.4,Fukuoka
Y2000,Autumn,14.6,11.3,67,1018.1,Fukuoka
Y2000,Winter,-2.2,-5.7,74,1009.1,Sapporo
Y2000,Spring,12.3,8.8,77,1006.6,Sapporo
Y2000,Summer,21.6,18.3,79,1007.4,Sapporo
Y2000,Autumn,4.3,0.7,66,1013.1,Sapporo
Y2000,Winter,7.7,3.9,44,1010.2,Tokyo
Y2000,Spring,18.9,15.6,66,1006.3,Tokyo
Y2000,Summer,27.2,24.2,69,1006.1,Tokyo
Y2000,Autumn,13.6,10.6,59,1013.9,Tokyo
Y1990,Winter,18,11,73,1013.8,Okinawa
Y1990,Spring,23.7,13,80,1005.7,Okinawa
Y1990,Summer,28.6,23.9,77,1001.6,Okinawa
Y1990,Autumn,21.8,12.1,67,1011.5,Okinawa
Y1995,Winter,16.6,9.1,68,1013.2,Okinawa
Y1995,Spring,23.9,13.1,83,1005.6,Okinawa
Y1995,Summer,28.4,22.1,78,1005,Okinawa
Y1995,Autumn,21.6,12.9,68,1011.8,Okinawa
Y2000,Winter,17.6,10.3,69,1012.1,Okinawa
