Year,Label,Value,Mortality_Rate,City
Y1990,Var_ave,0.188084621,14.2,Tokyo
Y1990,Var_var,0.008985508,14.2,Tokyo
Y1995,Var_ave,0.191678634,15.5,Tokyo
Y1995,Var_var,0.191678634,15.5,Tokyo
Y2000,Var_ave,0.186063069,11.7,Tokyo
Y2000,Var_var,0.186063069,11.7,Tokyo
Y2005,Var_ave,0.191715092,12,Tokyo
Y2005,Var_var,0.191715092,12,Tokyo
Y2010,Var_ave,0.188682503,10.9,Tokyo
Y2010,Var_var,0.188682503,10.9,Tokyo
Y1990,Ave_ave,58.45938106,14.2,Tokyo
Y1990,Ave_var,58.45938106,14.2,Tokyo
Y1995,Ave_ave,58.89860506,15.5,Tokyo
Y1995,Ave_var,58.89860506,15.5,Tokyo
Y2000,Ave_ave,58.20101014,11.7,Tokyo
Y2000,Ave_var,58.20101014,11.7,Tokyo
Y2005,Ave_ave,57.2939085,12,Tokyo
Y2005,Ave_var,57.2939085,12,Tokyo
Y2010,Ave_ave,59.71519547,10.9,Tokyo
Y2010,Ave_var,59.71519547,10.9,Tokyo
Y1990,Var_ave,,13.3,Fukuoka
Y1990,Var_var,,13.3,Fukuoka
Y1995,Var_ave,,16.9,Fukuoka
Y1995,Var_var,,16.9,Fukuoka
Y2000,Var_ave,,11.6,Fukuoka
Y2000,Var_var,,11.6,Fukuoka
Y2005,Var_ave,,11.7,Fukuoka
Y2005,Var_var,,11.7,Fukuoka
Y2010,Var_ave,,12.5,Fukuoka
Y2010,Var_var,,12.5,Fukuoka
Y1990,Ave_ave,,13.3,Fukuoka
Y1990,Ave_var,,13.3,Fukuoka
Y1995,Ave_ave,,16.9,Fukuoka
Y1995,Ave_var,,16.9,Fukuoka
Y2000,Ave_ave,,11.6,Fukuoka
Y2000,Ave_var,,11.6,Fukuoka
Y2005,Ave_ave,,11.7,Fukuoka
Y2005,Ave_var,,11.7,Fukuoka
Y2010,Ave_ave,,12.5,Fukuoka
Y2010,Ave_var,,12.5,Fukuoka
Y1990,Var_ave,0.185928217,11.7,Sapporo
Y1990,Var_var,0.008690751,11.7,Sapporo
Y1995,Var_ave,0.188476178,14.6,Sapporo
Y1995,Var_var,0.008993608,14.6,Sapporo
Y2000,Var_ave,0.191890657,10.7,Sapporo
Y2000,Var_var,0.009480896,10.7,Sapporo
Y2005,Var_ave,0.188557657,8.6,Sapporo
Y2005,Var_var,0.008989623,8.6,Sapporo
Y2010,Var_ave,0.193582815,9.7,Sapporo
Y2010,Var_var,0.010179174,9.7,Sapporo
Y1990,Ave_ave,68.57759979,11.7,Sapporo
Y1990,Ave_var,44.44613964,11.7,Sapporo
Y1995,Ave_ave,68.67945655,14.6,Sapporo
Y1995,Ave_var,56.60984316,14.6,Sapporo
Y2000,Ave_ave,73.77494396,10.7,Sapporo
Y2000,Ave_var,58.80204506,10.7,Sapporo
Y2005,Ave_ave,72.61434008,8.6,Sapporo
Y2005,Ave_var,78.3404308,8.6,Sapporo
Y2010,Ave_ave,66.64259182,9.7,Sapporo
Y2010,Ave_var,56.94980827,9.7,Sapporo
Y1990,Var_ave,,11.2,Nagano
Y1990,Var_var,,11.2,Nagano
Y1995,Var_ave,,13.5,Nagano
Y1995,Var_var,,13.5,Nagano
Y2000,Var_ave,,11.6,Nagano
Y2000,Var_var,,11.6,Nagano
Y2005,Var_ave,,11.5,Nagano
Y2005,Var_var,,11.5,Nagano
Y2010,Var_ave,,10.5,Nagano
Y2010,Var_var,,10.5,Nagano
Y1990,Ave_ave,,11.2,Nagano
Y1990,Ave_var,,11.2,Nagano
Y1995,Ave_ave,,13.5,Nagano
Y1995,Ave_var,,13.5,Nagano
Y2000,Ave_ave,,11.6,Nagano
Y2000,Ave_var,,11.6,Nagano
Y2005,Ave_ave,,11.5,Nagano
Y2005,Ave_var,,11.5,Nagano
Y2010,Ave_ave,,10.5,Nagano
Y2010,Ave_var,,10.5,Nagano
Y1990,Var_ave,,23.6,Okinawa
Y1990,Var_var,,23.6,Okinawa
Y1995,Var_ave,,35.5,Okinawa
Y1995,Var_var,,35.5,Okinawa
Y2000,Var_ave,,24.3,Okinawa
Y2000,Var_var,,24.3,Okinawa
Y2005,Var_ave,,21.5,Okinawa
Y2005,Var_var,,21.5,Okinawa
Y2010,Var_ave,,16.7,Okinawa
Y2010,Var_var,,16.7,Okinawa
Y1990,Ave_ave,,23.6,Okinawa
Y1990,Ave_var,,23.6,Okinawa
Y1995,Ave_ave,,35.5,Okinawa
Y1995,Ave_var,,35.5,Okinawa
Y2000,Ave_ave,,24.3,Okinawa
Y2000,Ave_var,,24.3,Okinawa
Y2005,Ave_ave,,21.5,Okinawa
Y2005,Ave_var,,21.5,Okinawa
Y2010,Ave_ave,,16.7,Okinawa
Y2010,Ave_var,,16.7,Okinawa
