Year,Rate,City,Gender
1990,13.6,Country_Rate,ALL
1995,16.6,Country_Rate,ALL
2000,13,Country_Rate,ALL
2005,11.6,Country_Rate,ALL
2010,10.5,Country_Rate,ALL
1990,14.2,Tokyo,ALL
1995,15.5,Tokyo,ALL
2000,11.7,Tokyo,ALL
2005,12,Tokyo,ALL
2010,10.9,Tokyo,ALL
1990,11.7,Sapporo,ALL
1995,14.6,Sapporo,ALL
2000,10.7,Sapporo,ALL
2005,8.6,Sapporo,ALL
2010,9.7,Sapporo,ALL
1990,13.3,Fukuoka,ALL
1995,16.9,Fukuoka,ALL
2000,11.6,Fukuoka,ALL
2005,11.7,Fukuoka,ALL
2010,12.5,Fukuoka,ALL
1990,2.6,Country_Rate,Female
1995,2.9,Country_Rate,Female
2000,2,Country_Rate,Female
2005,1.6,Country_Rate,Female
2010,1.4,Country_Rate,Female
1990,2.9,Tokyo,Female
1995,3,Tokyo,Female
2000,1.9,Tokyo,Female
2005,2.1,Tokyo,Female
2010,1.9,Tokyo,Female
1990,2.3,Sapporo,Female
1995,3.2,Sapporo,Female
2000,1.7,Sapporo,Female
2005,1.2,Sapporo,Female
2010,1.2,Sapporo,Female
1990,3.2,Fukuoka,Female
1995,4.6,Fukuoka,Female
2000,2.2,Fukuoka,Female
2005,1.8,Fukuoka,Female
2010,1.8,Fukuoka,Female
1990,11,Country_Rate,Male
1995,13.7,Country_Rate,Male
2000,11,Country_Rate,Male
2005,10,Country_Rate,Male
2010,9.1,Country_Rate,Male
1990,11.3,Tokyo,Male
1995,12.5,Tokyo,Male
2000,9.8,Tokyo,Male
2005,9.9,Tokyo,Male
2010,9,Tokyo,Male
1990,9.4,Sapporo,Male
1995,11.4,Sapporo,Male
2000,9,Sapporo,Male
2005,7.4,Sapporo,Male
2010,8.5,Sapporo,Male
1990,10.1,Fukuoka,Male
1995,12.3,Fukuoka,Male
2000,9.4,Fukuoka,Male
2005,9.9,Fukuoka,Male
2010,10.7,Fukuoka,Male
1990,6.2,Okinawa,Female
1995,8.1,Okinawa,Female
2000,5.2,Okinawa,Female
2005,4.5,Okinawa,Female
2010,3.9,Okinawa,Female
1990,17.4,Okinawa,Male
1995,27.4,Okinawa,Male
2000,19.1,Okinawa,Male
2005,17,Okinawa,Male
2010,12.8,Okinawa,Male
1990,1.1,Nagano,Female
1995,1.6,Nagano,Female
2000,1.1,Nagano,Female
2005,1,Nagano,Female
2010,0.9,Nagano,Female
1990,10.1,Nagano,Male
1995,11.9,Nagano,Male
2000,10.5,Nagano,Male
2005,10.5,Nagano,Male
2010,9.6,Nagano,Male
1990,23.6,Okinawa,ALL
1995,35.5,Okinawa,ALL
2000,24.3,Okinawa,ALL
2005,21.5,Okinawa,ALL
2010,16.7,Okinawa,ALL
1990,11.2,Nagano,ALL
1995,13.5,Nagano,ALL
2000,11.6,Nagano,ALL
2005,11.5,Nagano,ALL
2010,10.5,Nagano,ALL
1990,14.8,Osaka,ALL
1995,15.6,Osaka,ALL
2000,12.2,Osaka,ALL
2005,11.7,Osaka,ALL
2010,10.4,Osaka,ALL
