Date,temp,vap_pressure,atm_pressure,humidity,temp_max,temp_min,weather_num
1995/1/1,7.4,6.8,1024.9,69,10.8,5.2,4
1995/1/2,7.8,6.5,1026.3,62,11.8,4.8,3
1995/1/3,8.3,9,1017.9,81,9.3,6.7,8.75
1995/1/4,8.8,8.4,1011,73,10.2,7.5,8.75
1995/1/5,6.9,5.8,1013.1,59,8.3,5.7,8.75
1995/1/6,6.4,4.7,1018.6,49,8,3.5,5.25
1995/1/7,9.9,7.4,1021.1,60,14.8,5.8,3.5
1995/1/8,11.2,8.5,1019,65,16.7,6.2,2
1995/1/9,12.4,8.2,1014.2,57,16.5,8.4,2
1995/1/10,6.3,4.4,1019.5,46,8.4,5,2.75
1995/1/11,5.3,4.8,1019.9,53,6.6,4.3,3
1995/1/12,5.6,5.1,1017.7,57,7.9,3,3
1995/1/13,5.5,4.4,1015.7,48,7.1,3.4,3
1995/1/14,4.1,3.7,1019.8,45,5.7,2.8,3
1995/1/15,4.9,4.4,1023.5,52,7.6,2.1,2.75
1995/1/16,5.8,5,1021.9,55,10.2,2.5,3
1995/1/17,6.6,4.4,1023.3,46,8.9,2.2,2
1995/1/18,6.7,5.4,1021.7,55,11.4,1.5,3.5
1995/1/19,8,5.4,1019.4,51,10.2,5.7,3.5
1995/1/20,7.7,6.1,1019.1,58,11.2,4.2,2.75
1995/1/21,7.8,6.5,1019.2,62,12,2.5,5
1995/1/22,12.7,13.1,1008.7,89,15.9,9.2,8.75
1995/1/23,10.8,9.9,1013.7,76,12.4,7.7,5
1995/1/24,5.8,4.7,1022.2,51,8.5,4.2,6.25
1995/1/25,6,4.2,1025.7,46,8.5,3.1,2.75
1995/1/26,5.9,4.8,1023.8,53,10.1,2.4,3.5
1995/1/27,4.4,4.4,1024.7,54,7.7,1.6,3
1995/1/28,3.2,4.9,1024.1,64,5.8,1.1,3
1995/1/29,4.6,4.3,1023.7,51,6.6,1.4,2
1995/1/30,3.4,3.6,1026,46,5.3,1.6,2
1995/1/31,2.3,4.1,1026.2,58,6.6,-1.2,3
1995/2/1,2.3,5.8,1028.5,81,3.7,0.4,0
1995/2/2,3.2,6.4,1028.1,83,6.1,1.3,3
1995/2/3,5.1,5.7,1026.9,68,9.9,-0.2,2
1995/2/4,5.6,5.7,1022.5,65,9.2,2.6,2.75
1995/2/5,4.3,4.7,1019.9,57,5.8,2.3,3
