Date,temp,vap_pressure,atm_pressure,humidity,temp_max,temp_min,weather_num
2005/1/1,13,8.2,1017.8,55,14.3,11.6,3
2005/1/2,14.3,9.3,1018.4,57,17.3,11.3,4
2005/1/3,16.1,11.8,1017.2,65,21.5,10.8,2
2005/1/4,17.7,15.1,1015.8,74,20.5,15,5
2005/1/5,17.4,11.7,1017.8,59,18.9,16.5,3
2005/1/6,18.2,14.6,1017.1,70,20.4,16.5,5
2005/1/7,18.6,12.1,1018.3,57,21.1,15.4,2
2005/1/8,16.9,12.8,1018,67,18.3,14.8,5
2005/1/9,15.9,10.4,1018.6,58,17.7,14.3,5
2005/1/10,15.9,11.5,1019.3,64,18.2,13.7,5
2005/1/11,16.3,10.4,1019.3,56,19.2,14.2,3
2005/1/12,15.6,12.1,1018.1,68,16.7,14.5,8.75
2005/1/13,17,13,1014.1,67,19.9,14.7,5
2005/1/14,16.3,15.1,1008.9,81,17.5,15.2,8.75
2005/1/15,15.6,9.3,1012.6,53,17.1,13.7,3
2005/1/16,13.9,7.6,1014.7,48,14.8,12.5,5
2005/1/17,14.5,8.2,1017.5,50,16.2,12.7,3.5
2005/1/18,15.7,10.3,1017.6,58,19.8,11.4,2
2005/1/19,15.8,11.1,1018.4,62,18.6,12.9,3
2005/1/20,15.3,10.9,1022.2,63,16.2,14,5
2005/1/21,15.4,9.4,1024.3,53,17.3,14.1,3.5
2005/1/22,18.1,12.6,1019.2,60,21.2,14.3,2.75
2005/1/23,17.5,12.5,1016,62,20.8,14.2,2
2005/1/24,17.1,12.6,1015.3,65,21.2,12.1,1
2005/1/25,19.6,17,1009.5,75,23.4,15.9,2
2005/1/26,17.8,13.2,1011.4,65,19.2,16.7,5
2005/1/27,20.1,18.1,1008.3,76,23.5,16.5,3
2005/1/28,18.4,17.3,1006.6,82,21.9,16.5,3
2005/1/29,19.2,16.5,1008.9,75,22.8,15.7,2.75
2005/1/30,16.7,13.4,1010.9,70,19,14.2,8.75
2005/1/31,14.8,10.2,1012,61,16.3,13.5,3.5
2005/2/1,13.4,8.2,1013.4,53,15.5,12.2,3.5
2005/2/2,13.2,7.9,1017.3,52,14.7,12,5
2005/2/3,14.9,8.6,1018.7,51,17,13.3,3.5
2005/2/4,19.1,16.2,1013.2,73,21.1,15.9,5
2005/2/5,19.3,17.1,1014.3,77,22.2,15.8,3.5
2005/2/6,20.2,18.7,1016.7,79,22.4,17.7,3.5
2005/2/7,22,22.3,1016.9,84,23.8,20.2,3
2005/2/8,20.4,18.7,1019.1,78,22,19.4,5
2005/2/9,22,21.3,1018.3,81,25.3,19.7,5
2005/2/10,18.7,18.1,1018.9,82,22.1,15,5
2005/2/11,15.9,13,1022.3,72,18.2,13.9,5
2005/2/12,17.1,14.4,1019.6,74,19.7,15.2,5
2005/2/13,17.9,14.7,1020.1,72,21.1,14.9,3.5
2005/2/14,19.9,15.8,1019.1,68,22.5,17.5,2.75
2005/2/15,22.7,22.3,1014.4,81,25.1,20.2,3
2005/2/16,23.4,24.3,1011.4,85,25.3,22.1,3.5
2005/2/17,21.3,22,1010.4,87,23.8,19.3,8.75
2005/2/18,19.8,18.6,1010.5,81,22.4,17.9,3
2005/2/19,16.6,15.1,1012.3,80,18.3,14.4,8.75
2005/2/20,13.1,10.9,1017.6,72,14.9,12.2,8
2005/2/21,13.5,9.5,1019.8,62,16,11.5,5
2005/2/22,14.7,13.8,1015.7,82,17.7,12.6,8.75
2005/2/23,20,18.7,1010.5,80,23.5,17.5,2.75
2005/2/24,20.5,18.3,1006,75,24.7,17.8,2
2005/2/25,17.9,12.7,1012.4,62,20.6,16.2,2
2005/2/26,14.6,12.1,1017.2,73,17.6,12.4,8.75
2005/2/27,15,10.9,1017.4,64,16.7,12.9,5
2005/2/28,15.2,14.1,1013.2,81,17,13.9,8.75
2005/3/1,16.2,9.9,1019.3,54,18.8,14.6,2.75
2005/3/2,17.3,12.1,1019.1,61,19.5,14.8,5
2005/3/3,17.3,16.3,1012.5,82,21.5,14.2,8.75
2005/3/4,14,7.9,1020.7,49,15.5,13.1,2.75
2005/3/5,10.3,7.9,1023.2,64,13.2,9,8
2005/3/6,11.1,6.4,1024.3,48,12.4,9,3.5
2005/3/7,14,8.5,1024,54,18.4,9.9,2.75
2005/3/8,15.8,10.6,1021.8,60,20.9,10.4,2.75
2005/3/9,19,12.9,1017.8,59,23.4,15,2.75
2005/3/10,20.9,18.7,1012.4,76,23.8,18,5
2005/3/11,20.4,19,1009.2,79,22.8,17.6,3
2005/3/12,14.1,11.5,1014,72,17.6,10.9,0
2005/3/13,11.7,8,1017.6,58,13.3,10.7,5
2005/3/14,13.2,7.3,1019.3,48,16.4,10.9,3.5
2005/3/15,17.4,12.1,1019.2,61,22.3,11.3,2.75
2005/3/16,20.2,16.5,1018.8,70,24.4,16.6,3.5
2005/3/17,21.6,18.8,1014,73,25.5,18.8,0.5
2005/3/18,16.6,10.2,1018.1,54,18.8,14.9,0.5
2005/3/19,16.4,9.5,1019.7,51,19.6,14.4,2.75
2005/3/20,19,12.9,1016.9,59,22.8,14.5,2.75
2005/3/21,20,15.3,1015.1,66,22.6,17.6,3.5
2005/3/22,23.1,21.3,1009.6,75,26.2,20.3,3.5
2005/3/23,19.2,17.4,1009.6,77,23.1,16.7,5
2005/3/24,15.9,9.8,1016.1,54,18.6,12.3,3.5
2005/3/25,14.5,8.6,1019.6,52,17.5,12.2,2.75
2005/3/26,17.8,11.9,1019,58,21.9,13.2,2.75
2005/3/27,21.8,19.4,1013.3,74,23.7,18.6,5
2005/3/28,21.4,21.4,1009.9,84,23.2,19.8,0
2005/3/29,18,14,1011.6,68,20.5,15.3,3
2005/3/30,16.5,10.9,1011.8,58,18.7,14.3,2
2005/3/31,17.5,14.1,1012.6,70,20.7,14.9,3
2005/4/1,20.4,15.1,1012.8,64,23.5,18.1,2.75
2005/4/2,19.6,19.1,1006.7,83,21.8,18.6,8.75
2005/4/3,19.7,14.5,1012.2,63,22.4,16.9,2
2005/4/4,17.1,9.4,1018.4,48,19.6,15.1,2
2005/4/5,18.3,12.1,1019.3,58,22.2,13.8,2
2005/4/6,21.3,15.5,1015.2,61,24.8,18.1,0
2005/4/7,22.4,20,1012.7,74,25,20.8,5
2005/4/8,22.8,21.1,1013.5,76,26.7,19.7,2
2005/4/9,23.2,21.8,1013.5,77,26.8,20.7,2
2005/4/10,23,22.6,1011.6,80,26.3,19.4,5
2005/4/11,19.7,16.3,1011.2,71,21.7,18.8,3
2005/4/12,19.4,17.3,1010.8,77,20.6,17.8,5
2005/4/13,18.3,13.3,1013.3,63,19.5,17.4,5
2005/4/14,19.5,12.3,1016.2,54,22.3,16.5,2.75
