Date,temp,vap_pressure,atm_pressure,humidity,temp_max,temp_min,weather_num
2000/1/1,8.3,6.5,1014.3,60,11.7,6.2,3.5
2000/1/2,7.2,6.2,1008.3,62,11.2,3,3.5
2000/1/3,9.5,7.2,1005.8,61,13.5,5.9,2.75
2000/1/4,8.3,6.6,1012.5,61,13.5,4,2
2000/1/5,8.8,6.8,1013.1,62,13.7,4.2,2
2000/1/6,13.3,10.3,1005.1,67,17.6,9.4,3.5
2000/1/7,11.4,9.2,1005.9,67,14.7,6.8,0
2000/1/8,6.7,5.8,1012.1,59,8.7,4.2,2
2000/1/9,6.5,7,1011.6,73,9.4,3.1,3
2000/1/10,9.2,8.7,1007.3,75,13.4,6.6,3.5
2000/1/11,7.1,5.3,1014.5,53,10.1,4.9,3
2000/1/12,8,7.1,1009.6,64,11.1,4.6,3
2000/1/13,11.7,11.8,999.3,86,14.1,10.1,0
2000/1/14,10.5,7.8,1005.6,62,13.6,7.5,0
2000/1/15,8.2,7,1011.8,65,12.2,5.5,0
2000/1/16,6.3,6.9,1009.6,73,9.3,3.4,2
2000/1/17,9.1,7.8,1004,68,13,6.3,3.5
2000/1/18,7.4,5.9,1005.6,58,11.5,4.4,0.75
2000/1/19,6.6,5.8,1004.8,61,12.3,1.5,2
2000/1/20,3.7,3.4,1010.2,42,7,0.4,2
2000/1/21,2.1,4.2,1019.2,59,5,0.5,2
2000/1/22,3.6,4.3,1022.6,55,6.7,0.7,3
2000/1/23,4.4,7.6,1014,91,7.2,2.2,8
2000/1/24,8.9,9.7,1011.2,85,11.7,6.2,5
2000/1/25,5.1,5.8,1009.8,66,8.7,2.5,5
2000/1/26,3.1,4.6,1009.6,61,7.3,0.5,3.25
2000/1/27,2.1,4,1013.5,57,6.4,0.3,5.25
2000/1/28,3.6,4.5,1020.1,57,7,-0.4,0.75
2000/1/29,5.2,5.3,1022,62,10.5,0.5,2
2000/1/30,5.9,6.6,1016.5,70,8.2,2.8,8.75
2000/1/31,4.8,4.8,1015.9,56,8.9,2,2
2000/2/1,3.9,4.4,1017.7,55,7.1,1.6,2.75
2000/2/2,5.8,5.2,1015.4,56,9.9,2.8,0
2000/2/3,6.1,5.6,1013,61,10,1.7,3.5
2000/2/4,6.2,4.9,1014.8,52,9.3,4.5,2.75
2000/2/5,6.7,4.7,1016.1,49,11.4,2.7,2
2000/2/6,6.2,7.9,1005,83,8.2,4.7,8
2000/2/7,6.9,6.3,1001.8,63,9.4,4.7,3.5
2000/2/8,3.9,4.8,993.4,58,7.8,-0.3,3
2000/2/9,2.7,4.8,1003.9,65,6.7,0,3.25
2000/2/10,4.7,5.1,1008.5,60,9,1.5,2.75
2000/2/11,6.2,6.1,1006.3,64,11,1,3.5
2000/2/12,7.6,6,1006.5,59,11.8,3.2,2
2000/2/13,6.9,6.3,1006.3,64,11.2,3.8,0.75
2000/2/14,7.6,6.2,999.7,59,11.8,4.1,0.5
2000/2/15,4.8,4.2,995.7,47,8.3,0.8,0.75
2000/2/16,2.9,3.5,1002.4,47,6.9,0.3,0.75
2000/2/17,3.9,3.9,1008.1,48,7.6,1.1,3.25
2000/2/18,3.9,4.5,1011,55,7.6,1.4,3
2000/2/19,3.9,5.2,1007.6,65,7.3,1.9,3
2000/2/20,5.2,6.8,997,77,9.4,2.7,0
2000/2/21,4.5,4.6,1002.8,55,7.6,3,0.5
2000/2/22,4.2,4.7,1009.1,58,6.9,1.6,3.25
2000/2/23,4.9,4.9,1010.6,57,8.1,1,0.5
2000/2/24,5.4,5.3,1007.6,58,10.2,1.1,2
2000/2/25,2.7,3.8,1012,52,7.2,-0.1,2.75
2000/2/26,2.6,5.3,1005.9,71,5.3,0.4,3.25
2000/2/27,5.2,4.8,1007.9,54,9.4,2.7,0
2000/2/28,4.9,4.8,1009.3,55,10.2,1.3,2
2000/2/29,2.8,4,1015.4,54,6.5,-0.2,2
2000/3/1,5.6,4.3,1017.2,50,11.4,0.3,2
2000/3/2,7.1,5.3,1015.2,54,13,1,2
2000/3/3,10.3,5.4,1015.1,47,17.5,3.4,2
2000/3/4,9.6,10.1,1004.9,84,11.1,7.8,8
2000/3/5,10.7,8.2,1002.9,64,14.9,6.9,3
2000/3/6,10,6.1,1003.1,52,13.9,5.5,0
2000/3/7,9.7,6,1002.5,50,14.1,5.2,0.75
2000/3/8,6.1,3.9,1005.2,42,10.1,3.4,2
2000/3/9,5.8,4,1010.4,43,8.2,3.5,2.75
2000/3/10,5.9,4.5,1015.1,49,10.6,2.9,2.75
2000/3/11,4.7,6.2,1008.9,73,8.5,3.1,0
2000/3/12,7.1,7.5,1001,75,11.6,3.3,3
2000/3/13,7.9,6.4,1008,61,14.5,4.5,2.75
2000/3/14,7.3,5.4,1011.4,54,11.6,2.6,2
