Date,temp,vap_pressure,atm_pressure,humidity,temp_max,temp_min,weather_num
1995/1/1,-7,2.7,1009.7,74,-4.1,-10.1,13.75
1995/1/2,-6.4,3.1,1019.9,80,-1.8,-10.3,13.5
1995/1/3,0.8,5,1014.4,77,3.7,-3.9,3
1995/1/4,1.4,5.9,1004.1,88,3.7,0.1,0
1995/1/5,-0.3,4.8,998,81,2.4,-2.4,6.25
1995/1/6,-1.9,3.2,999.7,60,0.8,-4.1,0
1995/1/7,-2.2,3.9,1001.7,75,0.5,-3.6,13
1995/1/8,-0.3,3.5,1013.2,59,3,-3,2.75
1995/1/9,3.7,5.9,999.8,74,7.1,-1.2,8.75
1995/1/10,-2.8,3.3,997,67,3,-5.8,13
1995/1/11,-5.9,2.7,1005.8,69,-3.7,-6.8,13
1995/1/12,-6.2,2.7,1006.4,70,-4.1,-8.3,13.5
1995/1/13,-7.3,2.1,1002.4,61,-3.7,-9.7,3.25
1995/1/14,-7.5,2,1001.9,57,-4.7,-8.9,5.25
1995/1/15,-6.5,2.6,1006.4,70,-4.6,-9.6,13
1995/1/16,-4.5,2.8,1012.6,64,-3,-6.1,13.5
1995/1/17,-6.4,2.8,1016.5,75,-3.7,-10.1,3.5
1995/1/18,-5.6,3.1,1009.6,75,0.2,-14.1,3.5
1995/1/19,-4.8,3.2,1007.6,74,-3,-6.2,0.5
1995/1/20,-5,3,1012.8,71,-3.1,-6.2,13.75
1995/1/21,-3.8,3.1,1019.7,68,-1.6,-7.6,0
1995/1/22,-0.3,4.3,1016.5,71,4.2,-4.9,0
1995/1/23,2,6,1007.5,86,4.3,0.3,12
1995/1/24,-0.7,4.5,1010.8,77,0.7,-3.1,13.75
1995/1/25,-2,3.5,1014.9,66,-0.4,-3.3,13.75
1995/1/26,-2.2,3.1,1012.9,60,1.4,-5.7,2
1995/1/27,-5.4,2.8,1014.2,69,-1.6,-8.2,0
1995/1/28,-6.4,2.3,1019.4,62,-1.9,-12.2,2
1995/1/29,-4.9,3.5,1015.6,83,-1.9,-7.1,0
1995/1/30,-1.8,4.1,1004.4,77,0.5,-6.6,13.75
1995/1/31,-0.6,4.2,998.4,71,1.4,-2.5,3
1995/2/1,-1.6,3.6,1014,66,0.3,-5.6,6.25
1995/2/2,-6.3,2.2,1023.6,58,-2.5,-10.8,2
1995/2/3,-7.4,2.1,1024.1,62,-2.2,-12.5,1
1995/2/4,-4.2,2.9,1019.6,64,2,-11.3,0
1995/2/5,-3,3.3,1013.6,67,0.7,-6.5,5.25
1995/2/6,-6.5,2.2,1010.5,60,-2.8,-10.3,2
1995/2/7,-4.8,3,1009,67,-0.4,-12.1,5.25
1995/2/8,-2.2,3.6,1008.2,69,1.5,-4.3,3
1995/2/9,-3.9,3.2,1012.4,71,-0.9,-7.6,3.25
1995/2/10,-5.9,2.7,1018.6,69,-3.1,-10.5,3.25
1995/2/11,-2.2,3.5,1020.4,68,2.5,-9.2,2
1995/2/12,2.6,5.4,1011.9,73,5.3,0.7,0.75
1995/2/13,-0.5,4.7,1007.3,80,1.9,-2.8,6.25
1995/2/14,-1.7,3.9,1005.8,73,1.6,-5.1,6.25
1995/2/15,-2,3.2,1009.7,61,1.9,-5.8,3
1995/2/16,-2.3,3.2,1010.2,63,2.7,-6.6,1
1995/2/17,-2.4,3.6,1009.7,70,1.8,-7,6.25
1995/2/18,0,5.2,1009.5,85,0.8,-1.6,17
1995/2/19,1.1,5.6,1009,85,2.1,0,13
1995/2/20,1.6,5,1008.1,73,4.4,-0.4,3
1995/2/21,0.5,4.6,1007.3,73,1.6,-0.5,6.25
1995/2/22,0.2,4.7,1014.1,75,1.8,-1.5,6.25
1995/2/23,-1.4,4.2,1016.6,77,2,-5.1,0
1995/2/24,-0.5,4.2,1013.5,73,3.2,-3.6,5.25
1995/2/25,-3,2.9,1015.9,61,0.5,-5.7,2
1995/2/26,-3.5,3.2,1012.3,68,1.5,-9.4,3.25
1995/2/27,-2.6,3.5,1011.2,71,-0.2,-5.1,0.75
1995/2/28,-3,3.3,1013,66,0.5,-7.9,3.25
1995/3/1,-1.9,4.2,1010.5,79,1.1,-4,13.75
1995/3/2,-2.7,4,1011,80,0.3,-4.8,13.5
1995/3/3,-5.2,2.8,1012.5,67,-1.5,-10.1,3.25
1995/3/4,-5,2.7,1009.9,66,-0.7,-10.4,2
