Date,temp,vap_pressure,atm_pressure,humidity,temp_max,temp_min,weather_num
1990/1/1,5.2,3.3,1010.3,38,9.8,1.4,2
1990/1/2,5.5,4,1012.4,45,9.4,0.7,2
1990/1/3,5.8,4.3,1006.6,48,9.1,2.4,2.75
1990/1/4,5.7,3.2,1010.4,36,9.3,2.8,1
1990/1/5,6.8,3.8,1015.8,37,10.6,2,1
1990/1/6,8.6,4.7,1008.8,43,16.3,1.2,2
1990/1/7,5.9,3.2,1017.3,33,9,4.2,1
1990/1/8,5.9,3.8,1026.3,41,9.8,1.8,1
1990/1/9,6.3,4.7,1023.3,50,11.4,2.4,3.5
1990/1/10,7.4,7.3,1008.9,70,10.1,5.1,8
1990/1/11,10.6,5.2,1011.8,40,13.1,7.4,2
1990/1/12,7.6,6.6,1012.9,63,10.2,5,3
1990/1/13,5.8,4.5,1005.5,47,10,2.7,3
1990/1/14,3.5,3.5,1014,44,6,1.7,3.5
1990/1/15,5.8,3.8,1013.8,42,8.8,1.2,0
1990/1/16,1.3,6,1010.2,89,5.4,0.8,13
1990/1/17,3.4,4.8,1014.3,63,6.8,0.1,2
1990/1/18,4.9,5.4,1014,64,10.1,0.2,2.75
1990/1/19,5.5,7.2,1009.4,78,9,3.9,8.75
1990/1/20,4.3,4.4,1015.2,53,5.9,2.3,6.25
1990/1/21,3.2,3.8,1019.6,49,6.7,0.3,2
1990/1/22,5.7,4.7,1012.3,52,10.6,0.1,2
1990/1/23,3,4.4,1009.5,58,7.3,0.9,0
1990/1/24,3.7,3.5,1006.2,49,8.3,0.2,2.75
1990/1/25,2.9,2.8,1015,37,6.2,0.3,2
1990/1/26,2.3,2.5,1021.6,35,5.5,-0.3,2
1990/1/27,2.3,2.5,1024.2,36,6.6,-1.4,2
1990/1/28,3.6,2.8,1028.8,37,7.3,-1.1,2
1990/1/29,4,3.7,1018,45,6.8,1.4,7.75
1990/1/30,7.1,4.5,1012.4,46,12,3.1,0
1990/1/31,1.5,5.9,1019,87,4.2,0.8,13
1990/2/1,1,5.9,1016.1,90,1.5,0.4,13
1990/2/2,2.8,4.4,1025.8,60,5.1,0.1,2
1990/2/3,3,5.4,1021.7,71,5.3,0.3,0
1990/2/4,4.5,6.8,1019,80,5.9,2.8,0
1990/2/5,3.8,6.4,1023.8,80,5.8,1.7,8
1990/2/6,5.2,5.6,1027.4,65,7.8,2.5,3
1990/2/7,6.7,5.9,1022.8,60,8.3,4.8,8.75
1990/2/8,8,5.9,1019.3,56,11.3,5.4,0
1990/2/9,5.2,5,1024.7,58,7.3,2.3,0
1990/2/10,5.2,4.7,1027.6,53,7.2,1.4,3.5
1990/2/11,11.7,11.5,1007.9,76,17.1,6.5,8
1990/2/12,11.1,6.6,1006.9,50,14.4,7.8,2.75
1990/2/13,8,4,1017.2,37,11.2,5.7,2.75
1990/2/14,4.3,5.2,1022.6,63,6.6,2,0
1990/2/15,4.4,7.1,1017.4,86,6.5,1.8,8
1990/2/16,6.3,7.9,1013.5,84,7.3,5.5,8
1990/2/17,8.6,6.1,1019.8,57,13,4.9,2
1990/2/18,9.2,6.3,1026.1,53,12.8,5.3,2.75
1990/2/19,7.8,8.4,1027,79,9.6,7.3,0
1990/2/20,12.4,12.2,1013.3,86,17.1,7.4,8.5
1990/2/21,12.9,7.9,1016,54,17.2,7.8,2
1990/2/22,13,8.2,1019.8,54,16.9,8.6,2.75
1990/2/23,11.5,10.6,1017.3,78,13.6,10.5,0
1990/2/24,14.1,10.7,1004.9,70,19.4,10.2,5
1990/2/25,11.5,10.1,1010.1,75,14.4,9.7,0
1990/2/26,9.2,9.5,1013.9,80,10.7,7.5,8.75
1990/2/27,8.1,8.1,1017.8,75,10,7.3,8.75
1990/2/28,7.9,5.6,1024.2,53,11,5.9,2.75
1990/3/1,7.7,6.8,1021.1,65,9.7,5.6,0
1990/3/2,7.3,9,1014.1,86,8.7,5.5,8
1990/3/3,7.6,7.8,1011.5,76,9.1,5.7,5
1990/3/4,10.6,6.5,1000.4,55,14.9,7.3,0.75
1990/3/5,9.6,5.7,1001.3,47,11.3,7.6,5
1990/3/6,9.2,5.1,1003.1,43,11.5,6.5,2.75
1990/3/7,9.7,5.5,1001.5,46,15.4,5.5,4
1990/3/8,6.9,3.2,1008,32,10.6,4.4,2
1990/3/9,10.6,4.7,1017.4,36,14.5,6,1
1990/3/10,11.4,5.6,1018.6,42,16.7,7.1,1
1990/3/11,13.2,6,1015,40,17.1,8.4,0
1990/3/12,13.1,9.6,996.3,58,17.9,6.6,0
1990/3/13,7.7,2.8,1010.1,27,11.4,5.3,1
1990/3/14,10.1,5.5,1020.4,42,13.6,4.3,0
1990/3/15,12.7,6.8,1006.1,46,19.4,9.4,8
1990/3/16,11.9,4.2,1013.1,30,16.3,8.1,2.75
1990/3/17,10.8,5,1015.4,38,14.3,7.4,3.5
1990/3/18,8.6,6.7,1010.6,60,11.8,5.9,5
1990/3/19,11.4,6.4,1009.8,49,16.2,5.9,2
1990/3/20,13.2,5.7,1008.9,40,18.9,7.2,1
1990/3/21,11.1,3.2,1015.3,24,15.4,8.3,2
1990/3/22,11.9,6.7,1020.8,45,16.4,6.6,2
1990/3/23,13.6,8.8,1017.5,58,18.7,9.3,2
1990/3/24,16.3,10.7,1004.3,57,21.3,11.4,4
1990/3/25,9.9,3.6,1010.7,29,13.4,5.6,2
1990/3/26,8,3.1,1017,29,12.3,4.8,1
1990/3/27,10.3,5.3,1019.1,42,14.3,4.8,2
