Date,temp,vap_pressure,atm_pressure,humidity,temp_max,temp_min,weather_num
2000/1/1,8.6,4.9,1016.1,45,12.6,6,2
2000/1/2,6.9,4.7,1015.5,47,8.8,4.1,3.5
2000/1/3,9.2,6.1,1006.5,52,16.5,4,2.75
2000/1/4,9.8,4.3,1013.1,36,14,7.2,1
2000/1/5,9.3,5.5,1019.7,46,11.6,6.3,3
2000/1/6,10.5,7.2,1015.6,56,13.3,8.2,3.5
2000/1/7,12.4,10.3,1005.6,72,16.9,8.8,5
2000/1/8,9.9,6.5,1012.1,54,12.2,7.1,0.5
2000/1/9,9.1,6.3,1016.9,55,11.6,4.9,3.5
2000/1/10,10.8,8.2,1007.3,64,15.4,7.4,0
2000/1/11,8.1,3.9,1016.2,36,11.5,5.2,2
2000/1/12,3.8,5.3,1020.4,68,6.1,2.3,3
2000/1/13,7.1,9.1,1005.8,89,10.6,2.8,5
2000/1/14,11.7,8.2,1004.8,62,16.6,8.5,3
2000/1/15,9.1,6.7,1015.2,59,11.2,7.3,3
2000/1/16,7.8,5.5,1016.7,52,9.8,5.1,3.5
2000/1/17,5.7,7.4,1010.4,80,7.9,2.5,8
2000/1/18,8.2,6,1008.7,56,11.5,6,2
2000/1/19,5.5,6.3,1009.9,71,7.1,3.5,8.75
2000/1/20,7.6,4.7,1005.1,48,12.2,3.4,2
2000/1/21,3.9,2.1,1017.1,26,6.8,1.4,1
2000/1/22,5,2.9,1025.7,33,8.9,1.1,2
2000/1/23,6.6,5.4,1018.5,54,11.6,1.8,2
2000/1/24,8.5,7.3,1012.3,65,12.9,4.7,3.5
2000/1/25,5.5,3.3,1012.3,36,8.8,2.6,3
2000/1/26,4.1,2.3,1013.1,29,8,1.2,2
2000/1/27,3.1,3,1015.9,40,6.1,0.1,2.75
2000/1/28,4.6,3.1,1021.9,37,9.5,-0.7,1
2000/1/29,6.8,4.3,1026.5,43,10.8,0.9,2
2000/1/30,9.1,5,1016.2,43,15.6,2.8,2
2000/1/31,6.8,3.2,1014.9,33,10.4,3.8,0
2000/2/1,5.7,2.4,1018.5,26,9.5,3.2,1
2000/2/2,7.3,3.6,1016.6,36,11.6,3.4,0
2000/2/3,7.5,4.9,1015.7,47,11.4,3.7,0
2000/2/4,7.3,4.3,1014.3,43,11.8,4.4,2
2000/2/5,7.3,4,1020.2,39,10.3,3.2,1
2000/2/6,7.3,6,1010.4,58,10.1,3.8,3
2000/2/7,9.4,4.7,1000.9,42,14.5,4,1
2000/2/8,7.5,4.6,990.4,45,13.5,0.7,2.75
2000/2/9,5.6,2.8,997.9,32,10,1.9,2
2000/2/10,6.1,2.2,1009.7,24,10.8,2.2,1
2000/2/11,6.4,3.7,1007.7,38,11.1,1,1
2000/2/12,8.7,5.1,1007.2,45,12.7,4.4,2
2000/2/13,8.6,3.9,1008.8,36,11.3,5.6,2.75
2000/2/14,7,5.7,1003.9,56,9.7,5.1,0.5
2000/2/15,5.2,4.1,992.6,46,10.2,2,2.75
2000/2/16,3,2.3,1000.9,32,7,0,2.75
2000/2/17,4.8,2,1008.7,23,8.7,1.1,0.75
2000/2/18,4.6,2.5,1011,30,8.6,1,0.75
2000/2/19,5.4,3,1013,32,7.4,2.7,3
2000/2/20,4.4,6,999.6,72,6.7,2.4,8
2000/2/21,5.2,2.5,1001.9,29,9,1.7,2
2000/2/22,4.6,2.2,1009.2,26,9,1.3,2
2000/2/23,6.2,2.9,1012.4,30,9.1,2.3,0.75
2000/2/24,5.1,3,1007.5,34,10.5,1.5,3.25
2000/2/25,3.3,1.9,1013.6,25,7.1,0.1,1
2000/2/26,2.7,3.7,1011.1,49,4.4,1.8,3.25
2000/2/27,5.1,4.1,1007.4,49,9.2,0.6,2.75
2000/2/28,7.1,3.5,1008,35,12.8,2.8,2
2000/2/29,4.2,1.8,1014.4,22,8.7,0.9,1
2000/3/1,6.1,2.3,1019.6,25,11.2,1.7,1
2000/3/2,7.8,3.1,1017.6,30,13.1,1.5,1
2000/3/3,11.1,5.1,1020.2,38,15.2,6,2
2000/3/4,11.3,8.2,1010.4,62,15.9,8.1,5
2000/3/5,12.2,6.6,1004.4,49,15.9,8.1,5
2000/3/6,7.2,6.2,1008.8,62,10,5.6,5
2000/3/7,10.1,6.1,1002.1,53,16.5,3.6,1
2000/3/8,7.7,3.1,1003.6,30,12,4.6,2
2000/3/9,5.6,2.9,1009.1,32,10.8,1.9,1
2000/3/10,5.5,2.3,1016.9,26,9.4,1.6,1
2000/3/11,7.4,3.8,1012.6,35,10.7,2.4,3
2000/3/12,7.5,6.8,1004.1,66,9.8,5.1,0
2000/3/13,8.8,4.3,1007.8,38,14.9,4.5,2
2000/3/14,7.1,3.5,1012.9,34,11.4,3.4,2
2000/3/15,8.5,4.7,1015.2,42,11.9,4.4,2
2000/3/16,7.4,7.9,996.9,77,10.2,5.1,0.75
2000/3/17,9.3,4.6,1002.1,39,13.3,5.2,4
2000/3/18,10.2,4.9,1015.4,38,14.6,5.1,1
2000/3/19,12.8,7.2,1006.4,49,16.2,7,0
2000/3/20,9.9,4.1,1004.6,33,13,5.8,1
2000/3/21,7,4.5,1012.9,44,9.8,3.6,2
2000/3/22,8.9,4.6,1014.1,43,13.1,5.4,1
2000/3/23,9.9,7.4,1015.3,58,14.4,5.1,2
2000/3/24,11.5,7.7,994.4,55,15.8,6.5,8.75
2000/3/25,8.6,3.8,1003,35,12.4,4.7,2.75
2000/3/26,7.2,3.5,1005.4,35,12.1,4.1,2
2000/3/27,9.5,4.6,1012.9,38,14.2,3.2,1
2000/3/28,12,10,1011.7,69,16.7,7.6,0
2000/3/29,16.1,8.3,993.1,46,19.9,12.8,2
2000/3/30,14,4.7,1000.7,31,18.6,9.6,2
2000/3/31,13.4,7,1003.4,45,17,8.8,2.75
2000/4/1,12.7,3.9,1007.1,28,15.5,10.2,1
2000/4/2,12.2,4.3,1017.1,30,15.6,8.3,0
2000/4/3,10.1,5.7,1017.9,46,12.6,8.4,3
2000/4/4,11.8,7.2,1018.7,51,16.6,6.4,0.75
2000/4/5,11.9,12.4,1004.7,89,14.2,9.7,8
2000/4/6,14.1,7.1,1008.9,45,16.6,12.4,3
